Table: Table_1

2017-2018 ,2/12/18 1:16 PM student ran from staff ,Intervention: Time Out (minutes) ,
2017-2018 ,2/14/18 12:59 PM running from staff ,Intervention: Time Out (minutes) ,
2017-2018 ,student was non compliant, verbally aggressive, threatening and 2/26/18 12:50 PM unsafe to self ,Intervention: Time Out (minutes) ,
2017-2018 ,elopement out a window attempted throwing bricks hitting grabbing threatening 2/26/18 1:10 PM kicking ,Intervention: Time Out (minutes) ,
2017-2018 ,evading the classroom and work, became aggressive before going to 3/21/18 12:40 PM calming room ,Intervention: Time Out (minutes) ,
2017-2018 ,unsafe: running from staff and running out of the building and into the 5/16/18 1:15 PM parking lot. ,Intervention: Time Out (minutes) ,
2017-2018 ,Student was physically aggressive by hitting and running away from 6/14/18 2:33 PM staff. ,Intervention: Time Out (minutes) ,
2017-2018 ,1/23/18 2:10 PM student began grabbing and biting staff ,Intervention: Time Out (minutes) ,
2017-2018 ,2/6/18 11:49 AM Shoving, Kicking and slapping staff ,Intervention: Time Out (minutes) ,
2017-2018 ,2/2/18 2:55 PM punched a staff member ,Intervention: Time Out (minutes) ,
2017-2018 ,tissue was taken away due to student eating it. student then became 3/5/18 2:50 PM aggressive and hitting staff. ,Intervention: Time Out (minutes) ,
2017-2018 ,7/20/17 10:54 AM hitting staff ,Intervention: Time Out (minutes) ,
2017-2018 ,4/18/18 10:50 AM unsafe in OT hallway. tried to kick staff and students ,Intervention: Time Out (minutes) ,
2017-2018 ,4/19/18 12:54 PM spiting, bolting and physically aggressive ,Intervention: Time Out (minutes) ,
2017-2018 ,4/23/18 10:15 AM during restroom use, student tried throwing toilet water at staff. ,Intervention: Time Out (minutes) ,
2017-2018 ,4/23/18 10:39 AM running around room and hitting ,Intervention: Time Out (minutes) ,
2017-2018 ,became unsafe when working on her ipad. climbed tables and started 4/23/18 1:30 PM throwing stuff at staff ,Intervention: Time Out (minutes) ,
2017-2018 ,4/23/18 2:14 PM running and trying to hit ,Intervention: Time Out (minutes) ,
2017-2018 ,5/7/18 1:26 PM physically aggressive ,Intervention: Time Out (minutes) ,
2017-2018 ,5/11/18 1:45 PM tipped desk over and threw chair ,Intervention: Time Out (minutes) ,
2017-2018 ,climbing on tables. throwing his shoes and chairs. threw chair at 5/14/18 10:00 AM another student ,Intervention: Time Out (minutes) ,





