Table: Table_1

2018-2019 ,3/8/19 12:20 PM ,Student began swearing at other students. Throwing objects at staff/students. Support called, escorted to timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/11/19 12:00 PM ,Student go into a verbal altercation with another student. Staff intervened. Support called, time out. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/29/19 9:05 AM ,Arguing with peer, name calling. Staff went to talk to him. He tried to stab adult in face with pencil. Continued to be unsafe. Support called, timeout ,Intervention: Time Out (minutes) ,
2018-2019 ,5/3/19 8:40 AM ,Student became disrespectful to adults. Ripped up menu and threw it at adult. Pushed adult/spit an adult/kicked and scratched. Support called. Timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/28/19 9:20 AM ,Student became aggressive, throwing objects at peers. Support called. Verbally aggressive towards peer. He told student that they should commit suicide. Support escort to timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/12/19 12:00 AM ,Student did not complete work, became aggressive when asked to do it. Staff was able to get him to leave class. Continued to be aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/25/18 12:00 AM ,was arguing with his teacher about his desk. He ran at her like he was going to hit her. Staff intervened. He threw punches and was kicking trying to hit teacher. Small child used. Support called, escorted to timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,12/4/18 12:03 PM ,Student asked for a break, when he returned someone was sitting in the chair he wanted. He got agitated and walked out. Came back started kicking door, yelling at staff to let him in. When told when /if he was ready. He attacked teacher, tried hitting her. ,Intervention: Time Out (minutes) ,
2018-2019 ,12/4/18 12:45 PM ,Class lost ECT and computer time because of behaviors. Student got upset and walked out of class, kicking windows/walls and punching staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,12/3/18 8:30 AM ,X X mad comment to another student. The other student swung clipboard. hit student with clipboard and it broke. ,Intervention: Time Out (minutes) ,
2018-2019 ,12/3/18 12:30 PM ,Non complaint- Didn't want to go back to class. Unsafe, climbing on railing. ,Intervention: Time Out (minutes) ,





