Table: Table_1

2018-2019 ,1/10/19 9:30 AM ,Another student was displaying negative behaviors. Try was egging him on. He was told he would lose a point. He began yelling at the teacher. Saying inappropriate names. Directed to take a break. He began pushing the teacher. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/3/18 10:50 AM ,X was upset she did not earn points. She began throwing her clipboard in the hall almost heating staff and students. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/16/18 9:05 AM ,Student did not want to make up work in tutorial. Became physically aggressive to staff/students. Calmed and returned to class. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/19/18 11:25 AM ,Student was upset that she did not earn lunch in class. She sat in the doorway of the class and began attempting to trip other students. When staff asked her to move she became aggressive. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/12/19 1:00 PM ,Another student was antagonizing in Gym. She asked him to stop, he didn't. She swung at hit him. Support called, ,Intervention: Time Out (minutes) ,
2018-2019 ,3/21/19 8:26 AM ,She became agitated. Began kicking and hitting staff. Escorted to calming room and refused. Blocking the door from other students. Escorted to timeout to calm. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/21/19 11:00 AM ,was upset that she did not earn lunch in classroom. She began running and hiding. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/21/19 12:00 PM ,and another student began chasing each other around Home and Careers. They refused to sit and calm. Running through the halls hiding. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/4/19 8:05 AM ,She didn't want to start in a separate location. Became physically aggressive, ,Intervention: Time Out (minutes) ,
2018-2019 ,4/4/19 1:55 PM ,Upset about not earning ECT. She became physical, escorted to timeout. Used sexual language toward staff. Refused to go to bus. She hit staff with her backpack. She choked staff and spit in staff's eye. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/27/19 10:30 AM ,Sexual havior-cupping/grabbing crotch while in time out. ,Intervention: Time Out (minutes) ,





