Table: Table_1

2018-2019 ,3/25/19 8:35 AM Not following direction. Time out. Sat and was able to return to class. ,Intervention: Time Out (minutes) ,
2018-2019 ,X was in security office because of behavior plan. Refused to do work, started getting aggressive towards staff. Time out, calmed back 3/25/19 12:05 PM to security office. ,Intervention: Time Out (minutes) ,
2018-2019 ,Not following directions, escorted to timeout. 2 supine's he finally 3/26/19 1:00 PM calmed. Sat for 5 minute returned to class. ,Intervention: Time Out (minutes) ,
2018-2019 ,Upset after he lost 2 points in ELA. He walked out in the hall and 9/6/18 1:30 PM broke the chair. Xavier then walked himself to calming room. ,Intervention: Time Out (minutes) ,
2018-2019 ,X began threatening another student, had to be help back. He escalated with staff and was restrained/When let back up he punched 3/27/19 10:00 AM support in the face and was restrained again. ,Intervention: Time Out (minutes) ,
2018-2019 ,Punching windows. Support called. Waving a chair, being unsafe. 5/16/19 10:46 AM Restraint used. ,Intervention: Time Out (minutes) ,
2018-2019 ,was escalated during math but transitioned to specials., he was hitting and kicking the water fountain. He knocked over a garbage can and climbed instead. While getting help out, he started to 10/1/18 1:22 PM hit and bite. He was escorted to time out where he calmed down. ,Intervention: Time Out (minutes) ,
2018-2019 ,He escalated in gym, left and attempted to calm. When the class left he targeted another student and tried to hurt him. He was escorted 10/17/18 1:25 PM to timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,was laying on the table, being very loud. Support called. Climbed on another table, pulling books from shelf, grabbed flag, stabbing boxes and swinging flag. He hit support with it. Escorted to 11/5/18 11:50 AM time out, trying to bit and grab faces. ,Intervention: Time Out (minutes) ,
2018-2019 ,became upset when doing work in the class. He starts to throw items and destroy the room. When he was encouraged to leave he escalates, attempted to hit staff and hid under a desk. Escorted to 4/1/19 12:20 PM timeout. ,Intervention: Time Out (minutes) ,





