Table: Table_1

2018-2019 ,10/25/18 11:50 AM ,Upset about working at a different table. He was saying mean things. Disruptive to class. asked to leave. In the hall got aggressive with staff. Taken to time out and then PAS room. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/5/18 1:30 PM ,Was using a toy from reading class inappropriately. He was very distracted by the toy. Was given opportunities to stop playing with it. Not following directions. Started to destroy things in the class. Was asked to leave class, pushed threw staff. Taken to time out to calm. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/9/18 11:05 AM ,Student became upset when told by Cafeteria staff that he couldn't exchange his milk. He became angry. Started to yell, ,roll/throw things at classmates. He bit, kicked and scratched support. Escorted to time out. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/15/18 8:10 AM ,got into a physical altercation with other students' on the bus. He grabbed other students arm, other student hit They were separated and taken to time out. Then to the birds nest to calm more. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/19/18 10:00 AM ,Student became upset when after he threw his last bit of popcorn away and then couldn't get anymore. He was told to wait to go into library because he wasn't following directions. He got aggressive with staff, biting, spitting, hitting and scratching. Taken to time out. ,Intervention: Time Out (minutes) ,
2018-2019 ,12/5/18 8:10 AM ,was fighting with another student on the bus. Staff removed walked into building on his own. Became violent with staff, escorted to timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,12/5/18 8:35 AM ,Walking to get his breakfast and go to birds nest. He became aggressive with support, threw his breakfast at staff. Taken back to timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,12/12/18 11:00 AM ,wanted hot chocolate. Was told by the Cafeteria worker he could not trade his milk for hot chocolate, he already left lunch line. This made him mad and he got aggressive with staff. Taken to time out then to counselor to talk and eat his lunch. ,Intervention: Time Out (minutes) ,





