Table: Table_1

2018-2019 ,2/14/19 1:10 PM ,Student was swearing at students, not allowing them to do work. He was asked to leave, got physical with staff. 2 person hold. Support called, time out. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/25/19 10:00 AM ,Student became upset during counseling. He left the building. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/14/19 1:40 PM ,Upset and instigating other students. Staff asked him to go to calming room. He began pushing and kicking staff. Escorted to timeout room. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/23/19 12:55 PM ,non compliant- throwing classroom toys. Given direction to take a break. Became aggressive towards staff, kicking and hitting. Support called, small child used. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/13/19 8:30 AM ,During arrival he had issues coming into class. He refused to leave the door and removed his coat. kicking staff, support called escorted to timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/13/19 1:10 PM ,Goofing around. Staff tried to redirect to task he was unable to focus. He was given space. Pushed material towards staff. Poked staff with pencil, pretended to hit. Support called. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/15/19 8:39 AM ,X refused to get off bus, the monitor helped him. Staff helped to the class when he go there he started to destroy the room throwing things. Support called escorted to timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/5/19 9:00 AM ,X was asked several times to do his work. He refused and got physical with staff. Support called he walked himself to timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/23/19 12:30 PM ,Wrapping her hair around coat hanger into knots. She refused to stop. Support called. Unsafe and was escorted to timeout. Wandering around building. given a chance to be safe in class, escorted back to time out for throwing things in class. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/29/19 9:30 AM ,In fishbowl, being unsafe. Support called, escorted to time out. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/27/19 12:25 PM ,Kicking staff. Unsafe behavior to self and property. Saying she was going to kill herself and others. Support called, time out. ,Intervention: Time Out (minutes) ,





