Table: Table_1

2018-2019 ,1/14/19 2:23 ,Student was verbally and physically aggressive towards staff and PM students. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/15/19 10:28 ,AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/16/19 10:15 ,Student was physically aggressive with staff after not being allowed AM outside. ,Intervention: Time Out (minutes) ,
,,Student was physically aggressive towards staff and displayed unsafe ,,
2018-2019 ,2/13/19 1:57 ,PM behavior by trying to run outside. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/11/19 10:26 ,AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/23/19 1:00 ,PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/26/19 11:18 ,AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/29/19 9:12 ,AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/30/19 10:45 ,AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/1/19 1:30 ,PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/2/19 10:21 ,AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/2/19 1:22 ,PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/3/19 10:45 ,AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/3/19 12:32 ,PM Student was eloping from staff and became physically aggressive. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/6/19 9:42 ,AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/6/19 10:43 ,AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/8/19 10:58 ,AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/13/19 12:46 ,PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/13/19 2:04 ,PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/14/19 1:40 ,PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/16/19 9:30 ,AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/16/19 10:54 ,AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/16/19 11:14 ,AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/16/19 11:50 ,AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/17/19 12:33 ,PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/17/19 2:06 ,PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/17/19 2:30 ,PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/20/19 9:38 ,AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/20/19 9:39 ,AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,





