Table: Table_1

2018-2019 ,3/20/19 9:35 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/1/19 12:34 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
,unsafe/aggressive: ,,
2018-2019 ,7/9/18 1:24 PM hitting, kicking and pinching ,Intervention: Time Out (minutes) ,
,aggression: ,,
2018-2019 ,7/10/18 10:36 AM hitting, kicking, pushing and scratching ,Intervention: Time Out (minutes) ,
2018-2019 ,5/28/19 12:50 PM Student was physically aggressive with staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/30/19 2:25 PM Student was physically aggressive with staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/13/19 9:40 AM Student was physically aggressive with staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/18/19 11:44 AM Student was physically aggressive with staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,7/16/18 1:57 PM Student began to punch staff ,Intervention: Time Out (minutes) ,
2018-2019 ,8/7/18 1:26 PM Student displayed unsafe behavior by kicking and slapping. ,Intervention: Time Out (minutes) ,
,Student displayed aggressive behavior by hitting, kicking and throwing ,,
2018-2019 ,8/10/18 2:30 PM things. ,Intervention: Time Out (minutes) ,
2018-2019 ,9/5/18 12:25 PM Student displayed unsafe behavior by hitting staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,9/6/18 9:49 AM Student was hitting staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,9/24/18 11:37 AM Student was crying, and trying to push staff and furniture. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/15/18 11:38 AM Student was kicking staff and tipping over chairs in the classroom. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/15/18 12:49 PM Student was hitting and kicking. ,Intervention: Time Out (minutes) ,
2018-2019 ,7/12/18 2:21 PM spitting and kicking ,Intervention: Time Out (minutes) ,
2018-2019 ,7/13/18 11:27 AM kicking, spiting and jumping ,Intervention: Time Out (minutes) ,
2018-2019 ,7/16/18 11:28 AM physically aggressive and endangering the environment ,Intervention: Time Out (minutes) ,
2018-2019 ,7/19/18 1:45 PM physical aggression and endangering the environment ,Intervention: Time Out (minutes) ,
2018-2019 ,7/20/18 9:07 AM spitting, hitting and kicking ,Intervention: Time Out (minutes) ,
2018-2019 ,8/3/18 12:16 PM Student was spitting water and hitting staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,8/6/18 1:55 PM Student was displaying aggressive behavior towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,8/9/18 12:55 PM Student was kicking, stripping, spitting and was destroying property. ,Intervention: Time Out (minutes) ,
2018-2019 ,8/10/18 12:35 PM Student was spitting, hitting and kicking. ,Intervention: Time Out (minutes) ,
2018-2019 ,8/13/18 10:44 AM Student was hitting, spitting, biting and eloping. ,Intervention: Time Out (minutes) ,
2018-2019 ,8/15/18 10:32 AM Student was throwing things, spitting and kicking. ,Intervention: Time Out (minutes) ,
2018-2019 ,8/15/18 12:30 PM Student was spitting and hitting. ,Intervention: Time Out (minutes) ,





