Table: Table_1

2018-2019 ,8/3/18 10:07 AM Student was hitting, grabbing, kicking, biting and swiping items. ,Intervention: Time Out (minutes) ,
2018-2019 ,8/6/18 1:11 PM Student was unsafe and physically aggressive. ,Intervention: Time Out (minutes) ,
2018-2019 ,8/7/18 1:50 PM Student was hitting and trying to bite multiple staff members. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/24/18 1:00 PM Student was slapping, kicking, and biting staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/15/18 9:30 AM Student was hitting, biting, kicking and trying to lick. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/30/18 2:10 PM Student was hitting and attempting to bite. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/25/19 2:18 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/24/19 11:09 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/14/19 9:22 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,Student was flipping desks and chairs, throwing things and kicking and 11/7/18 1:00 PM punching. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/1/19 1:58 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,Student was running from staff, throwing things, trying to bite and 10/16/18 1:00 PM pinch staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/23/18 2:22 PM Student displayed aggressive behavior towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/29/18 11:56 AM Student was hitting and biting. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/9/18 1:50 PM Student was running, pinching and hitting staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,12/13/18 9:35 AM Student was kicking, hitting and biting. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/7/19 11:14 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/11/19 1:10 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/14/19 10:01 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/7/19 1:47 PM Student was hitting, trying to bite and pinching. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/8/19 9:35 AM Student was physically aggressive towards staff and teacher. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/15/19 1:46 PM Student displayed aggressive behavior towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/24/19 1:26 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/13/19 12:00 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/5/19 2:38 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/13/19 10:07 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/14/19 2:14 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/20/19 11:08 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,8/14/18 11:58 AM Student was hitting and running away from staff ,Intervention: Time Out (minutes) ,
2018-2019 ,9/11/18 1:16 PM Student was hitting, kicking, running and throwing. ,Intervention: Time Out (minutes) ,





