Table: Table_1

2018-2019 ,9/17/18 2:15 PM Student was physically and verbally aggressive with staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,9/21/18 11:32 AM Student was unsafe and physically aggressive. ,Intervention: Time Out (minutes) ,
2018-2019 ,Student was running from staff, biting, hitting, kicking, yelling and 10/9/18 2:50 PM swearing. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/16/18 2:18 PM Student was hitting, kicking and eloping from staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,5/16/19 9:55 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,Student was displaying unsafe behavior towards staff by hitting and 7/24/18 10:39 AM throwing things. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/30/18 2:24 PM Student displayed aggressive behavior towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/18/18 12:03 PM Student was hitting and clearing things off desks. ,Intervention: Time Out (minutes) ,
2018-2019 ,7/19/18 11:45 AM Student began to hit, bite and spit at staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/22/18 9:49 AM Student was hitting, kicking, biting and running. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/22/18 12:13 PM Student was hitting, kicking, head butting and biting. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/26/18 1:56 PM Student was hitting, scratching and trying to bite staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/5/18 10:17 AM Student was hitting, scratching and punching. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/27/18 10:08 AM Student was hitting, kicking and head butting. ,Intervention: Time Out (minutes) ,
2018-2019 ,7/10/18 1:41 PM physically aggressive - endangering the environment ,Intervention: Time Out (minutes) ,
2018-2019 ,12/13/18 1:19 PM Student was grabbing, pulling, hitting staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/16/19 3:01 PM Student was hitting and grabbing staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/6/19 11:49 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/7/19 11:34 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/12/19 10:24 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/12/19 11:13 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/12/19 2:29 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/13/19 11:04 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,Student was verbally disruptive to the classroom and physically 3/28/19 12:12 PM aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/4/19 12:37 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/4/19 2:00 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/5/19 11:17 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/9/19 2:42 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/10/19 12:38 PM Student was physically aggressive with multiple staff members. ,Intervention: Time Out (minutes) ,
2018-2019 ,4/10/19 12:41 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,





