Table: Table_1

2018-2019 ,9/21/18 2:05 PM Student was hitting and head butting. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/29/18 12:59 PM Student was kicking, flopping, hitting and attempting to head butt. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/6/18 10:58 AM Student displayed unsafe behavior by hitting staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,Student was kicking and attempting to bite, head butt and throw 11/9/18 10:44 AM objects. ,Intervention: Time Out (minutes) ,
2018-2019 ,9/28/18 11:24 AM Student displayed aggressive behavior by hitting and throwing things. ,Intervention: Time Out (minutes) ,
2018-2019 ,Student displayed unsafe behavior by running from staff, hitting cars, 2/5/19 12:45 PM kicking and going for the fire extinguisher. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/9/18 9:22 AM Student was kicking, pulling hair, biting and spitting. ,Intervention: Time Out (minutes) ,
2018-2019 ,11/9/18 10:20 AM Student was physically and verbally aggressive. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/12/19 9:39 AM Student was physically aggressive towards another student. ,Intervention: Time Out (minutes) ,
2018-2019 ,Student was destroying school property by writing on the walls with a 12/12/18 10:00 AM sharpie and was threatening staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,6/21/19 12:48 PM Student was physically aggressive with staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,10/24/18 10:20 AM Student was pinching, hitting and scratching. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/28/19 10:40 AM Student was physically aggressive towards staff and students. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/4/19 1:20 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/5/19 12:26 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,Student was physically and verbally aggressive and was eloping from 2/26/19 1:24 PM staff. ,Intervention: Time Out (minutes) ,





