Table: Table_1

2019-2020 ,1/21/20 8 8:55 AM ,Did not want to read his book in AIS. Threw book and was unsafe. Calmed and the re escalated. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/29/20 : 12:40 PM ,Upset that it was PE time. Did not want to walk lap. Hit and bit staff members. Escorted to timeout until safe. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/3/20 10:05 AM ,Did not want another student to sit next to him. He hit and pinched that student and staff. Student was escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/4/20 12:20 PM ,Student was upset over the activity. Threw objects and being unsafe. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/14/20 8:55 AM ,Student did not want to do work Student threw objects hit staff Student escorted to TO ,Intervention: Physical Intervention (minutes) ,
2019-2020 ,2/24/20 10:00 AM ,Student did not want to do work, he pinched teacher and attempted to choke teacher, student escorted to TO until safe ,Intervention: Physical Intervention (minutes) ,
2019-2020 ,2/24/20 11:15 AM ,Student refused to make up work Student started attacking staff in hallway Student was escorted to TO until safe ,Intervention: Physical Intervention (minutes) ,
2019-2020 ,3/3/20 1:20 PM ,Student started being unsafe in PE hitting escorted to TO ,Intervention: Time Out (minutes) ,
2019-2020 ,2/13/20 12:30 PM ,Disruptive during Spanish class. Not following adults directions and speaking rude and disrespectful to staff and students. Was asked to leave class, became physically aggressive. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/25/19 7:45 PM ,Unsafe behavior at arrival. Kicking and spitting. Support escort off bus. ,Intervention: Time Out (minutes) ,
2019-2020 ,11/22/19 11:30 AM ,Got upset with another student while playing a game at lunch. Went to class and was asked to take a break. Started kicking and tried to elope, escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,11/22/19 1:05 PM ,Became unsafe in class, tipped chairs and threw boots. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/3/19 11:25 AM ,Student was transitioning from lunch to ME group. He was not interested in going. He started tipping chairs and running to avoid directions. He hit staff. Escorted to timeout by support. ,Intervention: Time Out (minutes) ,





