Table: Table_1

2019-2020 ,12/3/19 1:45 PM ,Needed to make up work at end of day. He eloped and was escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/3/2012:30 PM ,Transitioning to class. Got upset with another student and hit him. Walked with support to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/4/20 12:30 PM ,Student was playing with his had and was reminded to put it away. Staff took it from him. Became physically aggressive and eloped from building. Escorted back in by staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/10/19 10:15 AM ,Student became agitated with staff, hit, pinched and scratched staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/15/19 8:30 AM ,Frustrated that other students were loud. Got aggressive with staff & students. Began to spit, bite, hit and kick. Taken to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/23/19 9:10 AM ,Physical aggression towards staff, kick, bit, hit and spit. Refused to follow directions. Yelling at staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/25/19 8:35 AM ,Upset and started targeting students and teachers. Hit staff. Small child and a supine was used to help calm her. Support arrived, escorted to timeout ,Intervention: Time Out (minutes) ,
2019-2020 ,11/22/19 11:45 AM ,X She became upset when asked her to move to a different table. Verbally aggressive towards classmate. Spit and tried to kick another student. Unsafe. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/13/19 10:40 AM ,Student became unsafe throwing objects at staff/students. Escorted to time out. Returned to class. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/7/20 5:45 PM ,Student became unsafe in the classroom after refusing to do work. Student was put in a supine and escorted to time out until she was able to be safe. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/10/20 10:35 AM ,Student disrupted other students verbally after repeated redirections, Started walking around room, swiping items off desks. Yelling. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/4/20 1:25 PM ,Started spitting at staff and throwing objects. Was brought to time out until safe. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/12/20 9:00 AM ,Did not like her points. Tried to get back into class. Started spitting and hitting staff. Escorted to timeout. ,Intervention: Time Out (minutes) ,





