Table: Table_1

2019-2020 ,7/18/19 10:30 AM ,He wanted staff to push him on the swing. Staff reminded him he could swing himself. He hit her. Other staff said she would push him once then he has to do it himself. He got upset and started yelling, hitting and kicking. Support called. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/21/20 9:40 AM ,X was refusing to do work and became physical with staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/30/19 10:05 AM ,Non compliant in class. Sat in hall. Regrouped. Re-entered class. Non complaint left class. Started rolling down the hall. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/10/19 10:10 AM ,Refusal to do work. Eloped from class. Unsafe behavior in hall. Time out, eloped back to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/13/19 9:30 AM ,Disrupting class. Yelling out, ripping work, inappropriate words. Flicking lights on/off. Threw rolled up paper at teacher's face. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/16/19 9:03 AM ,Student running through hall. Banging Head Punching Walls ,Intervention: Time Out (minutes) ,
2019-2020 ,12/17/19 9:48 AM ,Walked to time out. Escorted back in after running out. Rolling on floor, non compliant. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/17/19 11:20 AM ,Yelling at staff and students. Throwing books. Kicking staff. Timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/15/20 10:13 AM ,Student left room with desk. Started kicking walls. Left designated area. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/15/20 1:03 PM ,Student flicking lights. Left class. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/16/20 10:50 AM ,Consistent disruption during counseling group. Typing on computer. Verbal distraction. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/22/20 10:15 AM ,Student was disruptive in class. Flicking lights, throwing objects and yelling. Moved to hall. Kept screaming. Escorted to timeout, kicked support while escorting. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/3/20 9:06 AM ,Student wouldn't take off backpack. Disrupting students. Refused to participate. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/4/20 8:52 AM ,asked student to sit in hall because he was disruptive. In hall he told classmate to run away. ,Intervention: Time Out (minutes) ,





