Table: Table_1

2019-2020 ,2/26/20 10:30 AM ,student escalated during clean up angry with consequences throwing materials, aggressive toward staff ,Intervention: Time Out (minutes) ,
2019-2020 ,2/26/20 11:30 AM ,Transition from speech to room Student eloped from speech bench Support escorted to TO ,Intervention: Time Out (minutes) ,
2019-2020 ,3/9/20 1:05 PM ,OT - Did a great job but ran out in the end spit at staff, she stopped and became aggressive, support called ,Intervention: Time Out (minutes) ,
2019-2020 ,3/10/20 9:45 AM ,Came back from nurse to classroom she attacked another student. took her right to TO ,Intervention: Time Out (minutes) ,
2019-2020 ,3/12/20 1:10 PM ,Became non-compliant with staff Redirected attempts failed Student head butted staff and threw punch Small child restraint Escorted to TO ,Intervention: Time Out (minutes) ,
2019-2020 ,3/13/208:52 AM ,Student displayed unsafe behavior not following directions hitting ,Intervention: Time Out (minutes) ,
2019-2020 ,3/13/2012:00 PM ,transition to OT spitting non-compliant support called ,Intervention: Time Out (minutes) ,
2019-2020 ,7/31/19 11:30 AM ,Refused to put Legos away. When staff tried to help he became physically and verbally aggressive. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/1/19 10:55 AM ,Cole would not follow directions in cafeteria. He began threatening staff and students. Verbally aggressive language. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/15/19 9:55 AM ,Cole refused to comply with direction and to use a coping kill when he became frustrated. He threw eraser and began using inappropriate language towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/9/19 2:05 PM ,Student was not following directions after 3rd request. Asked to leave and sit in square. He refused and hit staff. Escorted to timeout. ,Intervention: Time Out (minutes) ,





