Table: Table_1

2019-2020 ,9/12/19 12:12 PM ,Unsafe behavior in class. Hit and kicked staff in hall. Support escort to time out. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/19/19 8:50 AM ,Student eloped from classroom. Unsafe in hall. Escorted to timeout by support. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/24/19 12:58 PM ,Student attempted to elope outside. Support escort to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/25/19 10:17 AM ,Had a hard time following directions. Became disruptive to class, threw objects at a friend. Was asked to leave the room, ran down the stairs. Support called, escorted to timeout ,Intervention: Time Out (minutes) ,
2019-2020 ,10/1/19 1:56 PM ,Unsafe behavior. Aggression towards staff. Support called, escorted to time out. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/3/19 9:59 AM ,Had a hard time following directions. Eloped from working area. Support called, escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/4/19 1:17 PM ,Left time out calmly. Started displaying unsafe behavior. Escorted back to time out. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/7/19 9:00 AM ,Non compliant, eloped. Aggression towards staff. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/7/19 9:52 AM ,Student had a hard time following directions.. Flipped chairs, walked out of class. Ran in hall, making unsafe choices. Support called, escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/7/19 10:15 AM ,Had a hard time returning to class from calming room. Aggressive towards staff and made unsafe choices. Support called, escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/7/19 1:03 PM ,Eloped from class. Hitting glass window. Escorted to time out. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/7/19 2:17 PM ,Unsafe in gym. Aggressive towards staff. put in hold by staff, escorted to timeout by support. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/8/19 9:49 AM ,Eloped from class. Unsafe behavior, climbing stairs- small child. Support called, escorted to time out. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/8/19 10:21 AM ,Hard time following directions. Climbing classroom door. Aggression towards staff. inappropriate language. Running away in the hall. Support called, escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/15/19 10:19 AM ,Student had a very hard time following directions. Eloped from class. Unsafe behavior. Support called, escorted to timeout. ,Intervention: Time Out (minutes) ,





