Table: Table_1

2019-2020 ,1/9/20 1:11 PM ,Aggressive in calming room. 2 person small child hold needed. Time out. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/16/20 9:55 AM ,Mason eloped from reading and was making unsafe choices. Escorted to calming space. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/27/20 10:25 AM ,Eloped from class. Hit and spit water on staff. Small child wrap, escorted to time out. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/3/20 1:30 PM ,Unsafe, running through halls. Making threats and bit staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/12/201 10:42 AM ,Eloped. Hit staff. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/28/20 8:50 AM ,Disruption to class. Was asked to leave and refused. Drew on walls and door. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/23/19 9:30 AM ,Hitting staff with pointer. Staff attempted to remove it from student. He continued to hit. Support arrived, escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/23/19 10:50 AM ,In Time out- Physical aggression towards staff. Verbal aggression and taunting other students. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/4/19 1:01 PM ,Student eloped to the hall. Swearing, banging his head on door. Starting fights with student in the hall. Ran down stairs. Support called, walked to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/22/20 1:00 PM ,Taking a cool down moment in hall. Started to hit and attempted to run away. Support saw and brought him to time out. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/22/20 1:30 PM ,Didn't know the Math answer. Started swearing and kicking staff. Escorted to time out by support. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/27/20 1:30 PM ,Did not earn iPad. Started cursing, yelling and threatening. Threw toys, chairs at staff and hitting staff. Support arrived, he eloped. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/29/20 1:30 PM ,Another student touched the tablet Jacob was using. He pushed and cursed at that student. Staff took tablets away. He pushed staff and threw abeam bags at them. Walked to timeout with support. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/23/19 11:45 AM ,X wet his pants and refused to change. When given prompts and space shut down. Refused to move for a "Hold in Place" began to threaten students. Aggressive towards staff escorted to timeout. Mom picked him up. ,Intervention: Time Out (minutes) ,





