Table: Table_1

2019-2020 ,8/6/19 11:30 AM ,X was being aggressive towards staff kicking and punching. Escorted to timeout and he punched me in the face, 3 person supine used. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/7/19 7:35 PM ,X refused to have his bag Searched after threatening to bring a knife to school. He became aggressive towards staff and was escorted to time out. Calmed and went to class. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/12/19 12:00 PM ,X X left time out and tried to go after a peer. punched staff. He was escorted to timeout, he walked out again. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/15/19 12:00 PM ,X was teasing other classmates and was asked repeatedly by others to stop. He refused and became physically aggressive towards staff. Escorted to time out to calm. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/12/19 12:50 PM ,X shut down during math. Started to annoy peers. Physical w/ staff. Eloped. Tried to break into security ,Intervention: Time Out (minutes) ,
2019-2020 ,10/2/19 8:20 AM ,Pushing and kicking staff. Trying to get into security office. Support escort to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/8/19 10:20 AM ,Refused to change clothes. Escorted to timeout. Left and ran halls. Aggressive towards staff. Targeting peers. Restraint needed. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/2/19 8:45 AM ,Ran around building and kicking staff Banging on glass with bey blade Support called ,Intervention: Physical Intervention (minutes) ,
2019-2020 ,12/17/19 12:40 PM ,Got upset when he had to do work after gym. Kicking/banging door. Physically aggressive towards staff. Restrained and escorted to timeout ,Intervention: Time Out (minutes) ,
2019-2020 ,1/14/20 12:30 PM ,X came to ELA and refused to work, he started to write inappropriate language, he also started to use sexual language. escorted to TO ,Intervention: Time Out (minutes) ,
2019-2020 ,10/3/19 11:25 AM ,X was fooling around with another student. Other student went to pretend it and chased him around cafeteria and attempted to hit him. was restrained. ,Intervention: Time Out (minutes) ,





