Table: Table_1

2019-2020 ,10/3/19 11:25 AM ,,Playing around with another student, that student went to fake it chased him around cafeteria and attempted to hit him. Restraint needed. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/16/19 1:15 PM ,,Student eloped from class, stopped by support. Became physically aggressive. Escorted to timeout he broke the timeout window with his shoe. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/26/20 1:08 PM ,,Refused to leave OT, flopping and jumping onto and into things. Threw things and ran from staff. Unsafe behavior. Support called, escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/12/19 1:00 PM ,,Student refused to do math, walked out of class. Asked to go to calming room. Refused, can around halls, screaming and cursing and threatening staff. Threatened to shoot, stab staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/4/19 10:45 AM ,,Evan was destroying calming room. He began pushing staff then elbowed them in the stomach. Supine used. ,Intervention: Time Out (minutes) ,
2019-2020 ,11/22/19 2:00 PM ,,Refused to follow direction became upset and verbally assaulted staff Also throwing furniture, eloped from class. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/22/20 12:40 PM ,,Upset he did not earn all points, refused to complete work, threatened staff ,Intervention: Time Out (minutes) ,
2019-2020 ,1/30/20 2:00 PM ,,Disrupting class and refusing to work. Was asked to leave. Kicked over a trash can and began threatening staff. Began opening windows and hit staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/28/209:40 AM ,,Student was non-compliant during LLI started ripping work book up. escorted to TO ,Intervention: Time Out (minutes) ,
2019-2020 ,2/3/20 12:30 PM ,,Playing around with peers, pushing and shoving. Peers asked him to stop, he continued. Last warning given and he started to argue was being disrespectful. Was asked to stay out of gym until ready. He entered gym with force. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/4/20 11:10 AM ,,Eloped from class. Hit staff. Support escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/26/20 10:50 AM ,,Eloped from classroom. Insubordination. Escorted to timeout. ,Intervention: Time Out (minutes) ,





