Table: Table_1

2019-2020 ,7/22/19 12:45 PM ,Student would not get out of the pool and was placed in time out. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/23/19 8:50 AM ,Noncompliant and unable to follow directions. Began swearing and became unsafe to be redirected. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/23/19 9:40 AM ,Child was given a break. Became non compliant and destroyed class room. He verbalized he was angry because he could not choose his crayons. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/23/19 1:00 PM ,Seated in hallway, ran upstairs. Took off shoes and sock and threw them down the stairs. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/24/19 10:00 AM ,Student could not transition from playground to cafeteria. Student began swearing and was non compliant. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/12/19 9:30 AM ,Student would not leave mission control after timer went off. Student began using inappropriate language and pushing staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/12/19 1:00 PM ,Using inappropriate language and spitting from top of stairwell. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/20/19 9:15 AM ,X X refused to transition to Math, asked to take a break. Started spitting and kicking. Transitioned to timeout. He started to urinate and had a bowel movement. Family was called and had to take home. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/23/19 1:12 PM ,X was asked to leave computer area. When refused his headphones were removed. He forcefully moved another student and became aggressive towards staff. Restraint used. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/4/19 12:45 PM ,Eloping around the school, tipping over garbage and ripping up paper. He began hitting and kicking. Removed from class. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/5/19 11:00 AM ,Student was hitting and kicking when asked to complete work/ ,Intervention: Time Out (minutes) ,
2019-2020 ,12/5/19 12:30 PM ,X was squeezing fruit not listening when asked to throw it away. He began hitting. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/6/19 8:30 AM ,Mad that dad didn't drop him off this morning. Began hitting, kicking and spitting. He then eloped from building. Restrained and taken to timeout. Said he wanted to run to dad's house. ,Intervention: Time Out (minutes) ,





