Table: Table_1

2019-2020 ,12/10/19 9:20 AM ,Ran from gym. Running around building. Grabbing adults. Broke eyeglasses and put in mouth. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/10/19 10:30 AM ,Ran from Building. Ran outside towards road and to back of building, ,Intervention: Time Out (minutes) ,
2019-2020 ,1/7/20 9:45 AM ,Noncompliant. Running from class. Kicked and hit staff. Asked to leave class. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/7/20 10:55 AM ,Throwing ball around science lab. Asked to leave. Took putty and began hitting adults. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/13/20 12:25 PM ,Physical aggression towards staff. Disrupting class. Running, verbal aggression and spitting. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/14/20 11:00 AM ,Upset about lunch choice threw apple sauce wanted kids to trip and fall in spilled apple sauce ,Intervention: Time Out (minutes) ,
2019-2020 ,1/15/20 11:00 AM ,-Verbal aggression - -Physical - hitting, kicking and spitting - Throwing items ,Intervention: Time Out (minutes) ,
2019-2020 ,1/16/20 10:30 AM ,Trashing room Hitting and Kicking Disrupting class ,Intervention: Time Out (minutes) ,
2019-2020 ,1/16/20 12:20 PM ,Was breaking staff thing and stealing items Was removed fro Tech Support called and was taken to TO ,Intervention: Time Out (minutes) ,
2019-2020 ,1/22/20 10:45 AM ,Disrupting class. Stealing. Hitting and kicking. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/24/20 9:30 AM ,Disrupting class. Throwing objects. Kicking and hitting. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/24/20 11:25 AM ,Hitting and running. Inappropriate grabbing. Disruption in lunch line. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/27/20 1:06 PM ,Taking things off the shelves in Library. Hitting Staff. Passing gas on stuffed animals and on staff shoes as a game. Disrupting class/library. ,Intervention: Time Out (minutes) ,





