Table: Table_1

2019-2020 ,12/12/19 1:10 PM ,Refused to participate in group counseling. She laid on desk during story time and wrote obscenities' on the desk. Staff went to call support she became upset and tried to stop them. In time out she broke window with her shoe. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/13/19 8:10 AM ,Informed she needed to be search in Security Office due to previous suspension for bringing a weapon to school. Became physically aggressive and hit staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/19/19 12:00 AM ,Chase and another student were instigating another student. Staff intervened and both students were asked to leave and return when ready. While in the hall he was climbing on and off the railing. Support called, escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/10/19 9:50 AM ,Russ chose not to participate in class. He was asked to sit in the hall, he refused. Eloped. He was escorted to timeout and complied with sitting calmly and did compliance work. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/28/19 10:15 AM ,Chose not to participate in math. He drew on his desk and yelled. Given a warning and then crumbled his worksheet and given another warning. He then threw pencil at another student. Support called, escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/31/19 9:35 AM ,X did not want to participate in AIS. Upon entering class he began upset yelling at a student. Threw a marker and then dumped them. When staff approached he attempted to kick. Ran from the room, attempted to kick again and then walked to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/5/19 11:25 AM ,Hard time leaving his Mother. Running thru halls and trying to leave building, Timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/5/19 1:55 PM ,Non compliant outside. Verbal and physical behavior. Pushing staff, spitting. Cool down time. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/6/19 12:45 PM ,Refused to follow directions during quiet reading time. Tried to elope. Toppled chairs. Took shirt off in timeout. Tried scratching staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/9/19 11:05 AM ,Continued refusal to use/leave electronics as directed. Unsafe behavior. Tipping furniture over. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/12/19 9:50 AM ,Continued refusal to stop sharpening. Started pushing furniture over. Kicking and throwing things. Time out. ,Intervention: Time Out (minutes) ,





