Table: Table_1

2019-2020 ,1/27/20 11:26 AM ,Refused to follow directions. Though it was funny to ignore staff. Got aggressive. Support called. Staff tried to put him in a hold, he would drop to floor. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/29/20 10:49 AM ,Refused to follow directions. Aggressive towards staff, throwing objects across the room. Curing and running around. Support called. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/29/2012:00 PM ,Kicking another student during Music class. Staff got between them and asked Cedric to stop. He refused, got upset and was aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/31/20 10:00 AM ,X asked another student if he wanted to fight. Students were separated. Other student threw a pencil, grabbed scissors and tried to attack other student. Small child hold needed. Escort to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/3/20 1:00 PM ,Got angry about his point chart. Knocked over chair. Cursed, ran out of room. Support escort to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/5/20 11:05 AM ,Frustrated and throwing toys at another student. Threw iPad at staff. Support came, escort to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/5/20 12:00 PM ,Hitting staff. Non complaint and unsafe behavior. Support escort to time out. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/6/20 12:30 PM ,Upset because he wanted to pick a movie. Saying inappropriate language and left class. Support called, escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/10/20 8:45 AM ,On the way to speech with his breakfast. He started to curse, threw his breakfast. Picked up juice and spilled it all over. Ran away from staff. Aggressive towards staff once they caught up to him. Support called, tried to leave building. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/10/209:28 AM ,Refused to go to LLI. In hall punching wall. Staff spoke with him. He kept cursing and saying he doesn't care. Trying to get into elevator. Started to get aggressive. Ran away from staff, trying to leave building. Support called. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/10/20 10:50 AM ,Upset tried to run out of class. Tried to stab staff. Throwing objects across the room. Aggressive towards staff. Support called. ,Intervention: Time Out (minutes) ,





