Table: Table_1

2019-2020 ,2/27/20 3:25 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,3/3/20 1:37 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,3/10/20 12:46 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,3/11/20 1:16 PM Student was verbally and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/8/20 11:40 AM Student was physically aggressive and was destroying property. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/23/19 11:37 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,11/13/19 12:58 PM Student was physically aggressive towards staff and another student. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/17/19 12:55 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/11/19 11:50 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/22/19 2:00 PM Student was physically aggressive towards other students. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/6/19 2:50 PM Student was verbally and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/7/19 2:29 PM Student was verbally aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/18/19 12:48 PM Student was physically aggressive towards another student. ,Intervention: Time Out (minutes) ,
2019-2020 ,11/13/19 2:54 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/18/19 1:45 PM Student was physically aggressive towards staff and another student. ,Intervention: Time Out (minutes) ,
2019-2020 ,11/13/19 9:45 AM Student was verbally and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/18/19 12:00 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,Student displayed unsafe behavior and was physically aggressive 7/18/19 11:13 AM towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/6/19 1:25 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/8/19 10:54 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/8/19 1:18 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/12/19 10:00 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/18/19 3:06 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/22/19 9:54 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/22/19 10:21 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,11/7/19 1:14 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/17/19 12:23 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/5/19 10:45 AM Student was screaming and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/30/19 1:30 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,





