Table: Table_1

2019-2020 ,2/14/20 10:12 AM ,Student was physically aggressive towards staff and was destroying property. ,Intervention: Time Out (minutes) ,
2019-2020 ,3/2/20 1:38 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,3/11/20 11:03 AM ,Student was non compliant and verbally aggressive and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/1/19 12:56 PM ,Student was verbally and physically aggressive. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/4/19 2:04 PM ,Student was verbally and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/31/19 2:15 PM ,Student was verbally and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,11/1/19 9:58 AM ,Student was physically and verbally aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,11/18/19 9:37 AM ,Student was verbally aggressive towards staff and displayed unsafe behavior by throwing things and destroying a playroom. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/3/20 1:11 PM ,Student was physically and verbally aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/10/19 10:35 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,3/11/20 9:32 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/31/19 12:01 PM ,Student was verbally and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/24/20 2:35 PM ,Student eloped from staff and became verbally aggressive ,Intervention: Time Out (minutes) ,
2019-2020 ,8/7/19 2:10 PM ,Student was physically aggressive towards himself and staff members. ,Intervention: Time Out (minutes) ,
2019-2020 ,3/5/20 11:04 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/26/19 1:46 PM ,Student was physically aggressive towards staff and was kicking vehicles in the parking lot. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/10/19 1:04 PM ,Student displayed unsafe behavior by throwing things and kicking staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/22/19 1:45 PM ,Student was physically aggressive and verbally aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/17/19 11:11 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/19/19 10:23 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,7/29/19 10:10 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,9/9/19 9:44 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/3/19 10:20 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,8/5/19 10:35 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/25/19 2:26 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,





