Table: Table_1

2020-2021 ,10/8/20 1:50 PM ,X was being unsafe in the classroom. refused to be safe and was escorted to T/O ,X Support was called and he ,Intervention: Time Out (minutes) ,
2020-2021 ,10/9/209.00 AM ,Student was being physical with staff and Support was called and the student was taken ,unsafe in the classroom. to T/O ,Intervention: Time Out (minutes) ,
2020-2021 ,10/9/209:35 AM ,Student was being unsafe in the classroom. escorted RAD to T/O ,Support came and ,Intervention: Time Out (minutes) ,
2020-2021 ,10/9/20 11:00 AM ,Student was running around classroom; hitting Support was called. Student continued to hit intervened until support came. Was in T/O ,and kicking staff. and kick. Staff physically from ,Intervention: Time Out (minutes) ,
2020-2021 ,10/9/20 11:40 AM ,Student ran from classroom and to the double Student continued to run within the building by the Student walked to T/O ,doors by the pool. and ran outside (doors . ,Intervention: Time Out (minutes) ,
2020-2021 ,10/13/201 11:50 AM ,Student ran from speech. Student continued support came. In T/O student removed shirt. T/O. (T/O ,to run through halls until Student eloped from ,Intervention: Time Out (minutes) ,
2020-2021 ,10/14/20 1:35 PM ,Ran out of room after other students ran out. caught him and walked him to T/O ,X Ran upstairs. ,Intervention: Time Out (minutes) ,
2020-2021 ,10/15/20 9:00 AM ,Transitioning to math center. Walking on and walked him to T/O ). ,countertops. Support came ,Intervention: Time Out (minutes) ,
2020-2021 ,10/15/20 11:40 AM ,Told what his ELA center was and ran out of fishbowl. Walked to T/O ,the room. Went to ,Intervention: Time Out (minutes) ,
2020-2021 ,10/15/20 1:45 PM ,Told it was time to do makeup work. Ran chairs. Then ran to the fishbowl. Then walked ,around room tipping over to T/O (1:45-2:05). ,Intervention: Time Out (minutes) ,
2020-2021 ,10/16/209:01 AM ,X Math centers were announced, then another told to run to the fishbowl. Climbed escorted to T/O ,student ran to door and on ledge in fishbowl. Was ,Intervention: Time Out (minutes) ,
2020-2021 ,10/19/20 9:45 AM ,Climbing on counter trops in the reading room, Support called taken to T/O ,pushing over divider. ,Intervention: Time Out (minutes) ,





