Table: Table_1

2020-2021 ,Swearing, running around the room, throwing things, climbing on 10/19/2011:30 AM countertops. Taken to T/O ,Intervention: Time Out (minutes) ,
2020-2021 ,Got out of time out then walked back to class said needing bathroom. Used bathroom then ran away instead of going into class. Then ran 10/19/20 12:00 PM outside. Taken to T/O ,Intervention: Time Out (minutes) ,
2020-2021 ,Left class with out permission and began climbing and running in hall 10/20/2010:05 AM and fishbowl. Threatening other students. T/O ,Intervention: Time Out (minutes) ,
2020-2021 ,X Was supposed to get off iPad. Was given reminders but would not get off. When iPad was taken away he started hitting and kicking Was in a hold. Support called. Was redirected to 10/22/20 12:40 PM designated space in hallway. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,Student would not leave the toys in Speech. He then ran down hall and hit staff. He was in time out for and was placed in a 11/9/20 11:00 AM small child restrain by one person for less than a minute. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,Student would not leave the toys in Speech. He then ran down hall and hit staff. He was in time out for and was placed in a 11/9/20 11:00 AM small child restrain by one person for less than a minute. ,Intervention: Time Out (minutes) ,
2020-2021 ,Student refused to leave the playground to back to class for lunch. Support was called, but student continued to run from staff. Support had to escort him into time out. He was in time out for 11/10/20 11:00 AM and was in a one person small child hold for one minute. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,Student refused to leave the playground to back to class for lunch. Support was called, but student continued to run from staff. Support had to escort him into time out. He was in time out for 11/10/20 11:00 AM and was in a one person small child hold for one minute. ,Intervention: Time Out (minutes) ,
2020-2021 ,Hitting and pulling staff's hair when he was blocked from trying to get onto the computer instead of doing math. He was placed in a one person small child hold for one minute to escort him to time out room 11/12/20 9:30 AM where he stayed for ,Intervention: Physical Intervention (minutes) ,





