Table: Table_1

2020-2021 ,11/12/20 9:30 AM ,Hitting and pulling staff's hair when he was blocked from trying to get onto the computer instead of doing math. He was placed in a one person small child hold for one minute to escort him to time out room where he stayed for ,Intervention: Time Out (minutes) ,
2020-2021 ,11/12/2010:00 AM ,Student eloped while walking back to class from the bathroom with another student. He was placed in a one person small child hold for a minute as he was escorted to the time out room where he stayed for ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,11/12/20 10:00 AM ,Student eloped while walking back to class from the bathroom with another student. He was placed in a one person small child hold for a minute as he was escorted to the time out room where he stayed for ,Intervention: Time Out (minutes) ,
2020-2021 ,11/12/20 1:30 PM ,Student eloped when walking back from the Art room to class with another student. He was taken to the time out room. Student was in time out for ,Intervention: Time Out (minutes) ,
2020-2021 ,11/16/209:30 AM ,Student was taking a walk and would not walk back to class. Student ran to the Morgan gym. Support walked him to reading class, but he would not go in. They walked him to time out where he stayed for 20 minutes. ,Intervention: Time Out (minutes) ,
2020-2021 ,11/17/20 9:00 AM ,Student ran to the door when it was time to do a math puzzle. He started hitting and kicking staff and then throwing things at staff. Support was called and they put him in a one person small child hold for less than a minute to escort him to time out where he stayed for ,Intervention: Time Out (minutes) ,
2020-2021 ,11/17/20 12:15 PM ,X Student was walking back from Gym class when he ran for the front door of the school and tried to get out. Support was called and he tried punching them. A one-person small child hold was used for less than a minute to escort him to time out where he stayed for ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,11/17/20 12:15 PM ,X Student was walking back from Gym class when he ran for the front door of the school and tried to get out. Support was called and he tried punching them. A one-person small child hold was used for less than a minute to escort him to time out where he stayed for ,Intervention: Time Out (minutes) ,





