Table: Table_1

2020-2021 ,12/1/20 1:40 PM ,Walked to class after Art class then the student took off when he could not eat a candy cane. The student ran out of the building. Support was called and they put him in a one person small child hold. He was escorted to time out where he stayed for ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,12/1/20 1:40 PM ,Walked to class after Art class then the student took off when he could not eat a candy cane. The student ran out of the building. Support was called and they put him in a one person small child hold. He was escorted to time out where he stayed for ,Intervention: Time Out (minutes) ,
2020-2021 ,12/7/20 10:20 AM ,During Speech class, the student began climbing on the cupboards in the room to escape doing work. Support was called. He was placed in a two person small child hold for a minute while he was escorted down to time out where he stayed for ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,12/7/20 10:20 AM ,During Speech class, the student began climbing on the cupboards in the room to escape doing work. Support was called. He was placed in a two person small child hold for a minute while he was escorted down to time out where he stayed for ,Intervention: Time Out (minutes) ,
2020-2021 ,12/7/20 10:40 AM ,The student was completing a math task in the calming room when he started getting aggressive with staff. Support was called and he was walked to the time out room where he stayed for He was put into a two person small child hold due to unsafe behaviors ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,12/7/20 10:40 AM ,The student was completing a math task in the calming room when he started getting aggressive with staff. Support was called and he was walked to the time out room where he stayed for He was put into a two person small child hold due to unsafe behaviors ,Intervention: Time Out (minutes) ,
2020-2021 ,12/7/2012:30 PM ,The student was walking back from P.E. when he ran away from staff to the front lobby of the school where he began climbing on the banisters. The student was escorted to time out where he stayed for ,Intervention: Physical Intervention (minutes) ,





