Table: Table_1

2020-2021 ,12/18/208:30 AM ,While coming back from the bathroom, student got to the classroom door and then suddenly ran up the stairs. He bit support staff on the arm when she tried to direct him back to class. Support was called and he walked into a time out room where he stayed for ,Intervention: Time Out (minutes) ,
2020-2021 ,12/21/20 9:04 AM ,Student was on the way to get water and he took off for the front entry and started climbing on the railings. He took off his mask and refused to put it back on. He also hit staff. Support was called. He was escorted to time out for calming where he stayed for ,Intervention: Time Out (minutes) ,
2020-2021 ,12/22/20% 9:45 AM ,Student refused to get off the iPad. He started hitting and kicking staff. He was helped out into the hallway but he took off. Support was called. Student was escorted to time out due to unsafe behavior. He stayed there for until he was calm again. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/20/21 1:15 PM ,Student ran from staff. Support was called. He walked to time out where he stayed for ,Intervention: Time Out (minutes) ,
2020-2021 ,1/21/21 1:55 PM ,Another student was yelling and tried to hit the student. The student tried to leave campus. Staff stopped him from leaving the school. The student hit and kicked the staff. Support was called. They placed him in a one person small child hold for a minute until student calmed down. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,1/26/21 1:20 PM ,Hitting and kicking staff. Support was called. He was escorted to time out where he stayed for ,Intervention: Time Out (minutes) ,
2020-2021 ,2/1/21 9:15 AM ,Student was kicking and hitting staff. Support was called and student was escorted to time out where he stayed for ,Intervention: Time Out (minutes) ,
2020-2021 ,2/10/21 12:35 PM ,Student was running away from staff, hitting and kicking staff as well. Support was called and he was escorted to time out where he stayed for ,Intervention: Time Out (minutes) ,
2020-2021 ,3/1/21 12:20 PM ,Student eloped from the gym and out the building. He ran around the building and over to the church next door. Support was called and he was escorted to time out where he stayed for ,Intervention: Time Out (minutes) ,





