Table: Table_1

2020-2021 ,3/2/21 12:40 PM ,Student was pulling and kicking staff. Support was called and student was escorted to time out where he stayed for ,Intervention: Time Out (minutes) ,
2020-2021 ,3/4/21 8:35 AM ,Student fled from the classroom and kicked staff. Support was called and he was escorted to time out where he stayed for ,Intervention: Time Out (minutes) ,
2020-2021 ,3/16/21 10:30 AM ,Student was hitting staff. Support was called. Student was in time out for ,Intervention: Time Out (minutes) ,
2020-2021 ,3/22/21 8:45 AM ,Student pulled staff's hair. Support was called and he was walked down to time out where he stayed for He then went into the calming room until he was ready to come back to class. ,Intervention: Time Out (minutes) ,
2020-2021 ,3/22/21 11:30 AM ,Student was hitting staff. Support was called and he was escorted to time out where he stayed for He then used the calming room. ,Intervention: Time Out (minutes) ,
2020-2021 ,3/12/21 12:05 PM ,Student became upset with peers. She ran after them and began to punch them over the head. When staff intervened she became physical with them. Support called and she was walked to TO ( ,Intervention: Time Out (minutes) ,





