Table: Table_1

2020-2021 ,11/12/20 12:40 PM ,Student became frustrated because he couldn't find his eraser. He began throwing items, hitting/pushing furniture, putting hands on staff. He was escorted to take a break. In the hallway, he became verbally and physically aggressive with a classmate. Support escorted him into a time out room. He stayed there for ,Intervention: Time Out (minutes) ,
2020-2021 ,10/8/20 8:15 AM ,Time out Student eloped from classroom to the fish bowl.Student was hitting the rocking chairs aggressively. student was walked to TO after not following directions. ,Intervention: Time Out (minutes) ,
2020-2021 ,10/9/20 8:42 AM ,X X T.O. 1 minute escort. was in the fishbowl trying to calm himself. He then started trying to break the rocking chair. ,Intervention: Time Out (minutes) ,
2020-2021 ,11/12/20 10:00 AM ,T.O. was used at Escort was also used. Student was upset he was not the line leader. Student ran ahead of class and pushed student in the front of the line. ,Intervention: Time Out (minutes) ,
2020-2021 ,11/13/20 8:45 AM ,T.O. was used from escort was also used for Ayden was teasing other students so he was asked to take a break outside of the room. He was kicking doors and ripping things off walls. he was then escorted to T.O. ,Intervention: Time Out (minutes) ,
2020-2021 ,11/30/20 1:45 PM ,X Small child used for Student was antagonizing peers. Student threatened to harm peer. Student was asked to leave and became aggressive with staff student scratched staff. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,3/16/21 2:10 PM ,Small child was used for Student was upset and did not want to put on harness. Student entered staff copy room and began kicking copiers. Student left and became physically aggressive with staff in hallway. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,3/17/21 1:15 PM ,TO used from Student was upset because he couldnt have pictures off the printer till 1:30. He began throwing things. ,Intervention: Time Out (minutes) ,





