Table: Table_1

2020-2021 ,4/12/21 12:15 PM ,X X X was being noncompliant in a seprate location. began spitting on staff and support was called. was escorted into a T.O. T.O. time ,Intervention: Time Out (minutes) ,
2020-2021 ,4/15/21 9:30 AM ,X X X was running around the building and was attempting to leave campus. became physically aggressive and was escorted by support into a T.O. While in T.O. refused to wear mask. ,Intervention: Time Out (minutes) ,
2020-2021 ,4/21/21 10:30 AM ,X X X eloped from gym and went up to the fish bowl. While in the fish bowl had no mask and began spitting on staff. Support intervened and walked into a T.O. ,Intervention: Time Out (minutes) ,
2020-2021 ,5/19/21 12:30 PM ,X X X X While was in a separate location he escalated and began damaging property harassing other students and hitting staff. Support intervened and was escorted to T.O. Remained in T.O. due to mask noncompliance/ eating his mask. T.O. time in time out ,Intervention: Time Out (minutes) ,
2020-2021 ,5/26/21 12:00 PM ,X X X X X eloped from classroom. was in fishbowl. removed mask and became physically aggressive and unsafe. Support intervened and was escorted into T.O. while in T.O. urinated on T.O.floor and continued refuse to put on a mask. ,Intervention: Time Out (minutes) ,
2020-2021 ,6/17/21 1:15 PM ,X X X -escort (2 times) -time out ( ) was eloping from adults on the playground. Support escorted him into room B135. became aggressive and began destroying property. He was escorted to time out. ,Intervention: Time Out (minutes) ,
2020-2021 ,9/16/20 1:15 PM ,X X Physical intervention - two person standing hold was upset with another student who was using inappropriate language towards him, and refused to stop. then went after the other student, and tried to punch them. ,Intervention: Physical Intervention (minutes) ,





