Table: Table_1

2020-2021 ,Student ran outside building and laid in the road. Support escorted 10/9/20 10:35 AM him to TO 1 ,Intervention: Time Out (minutes) ,
2020-2021 ,Student left TO to use bathroom, on way back, student attempted to 10/9/20 11:10 AM run outside. Escorted to TO ,Intervention: Time Out (minutes) ,
2020-2021 ,Student was in calming room B108 and began throwing chairs and 10/9/20 12:00 PM standing on desk. Escorted to TO ,Intervention: Time Out (minutes) ,
2020-2021 ,X Student was in separate location and began to rip materials off wall and destroy the room. Escorted to TO where he began spitting. 10/9/20 1:30 PM ,Intervention: Time Out (minutes) ,
2020-2021 ,Student was in separate location and began to get physical and destroying the room. Support was called and he was escorted to TO He was banging his head so nurse was called. He stayed 10/16/20 10:00 AM in TO all day. In school suspension was written up for him. ,Intervention: Time Out (minutes) ,
2020-2021 ,10/16/20 11:15 AM In TO and began to engage in self-harm behavior. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,10/16/20 11:25 AM In TO and engaged in self-harm behavior. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,10/16/20 11:27 AM In TO engaged in self-harm behavior. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,10/16/20 11:31 AM In TO engaged in self-harm behavior. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,10/16/20 11:42 AM In TO engaged in self-harm behavior. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,In TO engaged in self-harm behavior, nurse was called. Student began 10/16/20 1:20 PM to hit nurse, put in restraint until calm. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,X student was refusing to work and was slamming his chair into the table. He was escorted to TO He started banging his head 10/19/209:45 AM and using mask to tie around his neck. Intervention was used. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,student was refusing to work and was slamming his chair into the table. He was escorted to TO He started banging his head 10/19/209:45 AM and using mask to tie around his neck. Intervention was used. ,Intervention: Time Out (minutes) ,
2020-2021 ,Student was in separate location and began to destroy room and be unsafe with furniture Escorted to TO 10/19/2010:40 AM Support came in due to ripping wall, so time was reset at 11:05 ,Intervention: Time Out (minutes) ,





