Table: Table_1

2020-2021 ,2/22/21 9:23 AM ,Ran outside, climbed snow pile and sat in middle of parking lot. Brought to TO. Escort TO ,Intervention: Time Out (minutes) ,
2020-2021 ,2/22/21 9:33 AM ,X In calming area, began breaking things and ripping things off the wall. Brought back into TO room. Escort n. TO ,Intervention: Time Out (minutes) ,
2020-2021 ,2/22/21 10:25 AM ,DJ re-entered the classroom after being in crisis. He appeared clam, but refused to put his mask on. He was told he would have to go to an alternate location if he could not comply. He ran from the classroom. Support was called and he was escorted to TO. Escort TO 0. ,Intervention: Time Out (minutes) ,
2020-2021 ,2/24/21 9:05 AM ,X ran out of the classroom before LLI. Support was called and he was escorted to TO. Escort TO ,Intervention: Time Out (minutes) ,
2020-2021 ,2/24/21 10:15 AM ,X left the TO room and began running through the hallways. Staff caught up to him and he started to hit staff. He was held in the hallway and escorted to TO. Small Child Escort TO ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,2/24/21 10:15 AM ,X left the TO room and began running through the hallways. Staff caught up to him and he started to hit staff. He was held in the hallway and escorted to TO. Small Child . Escort TO ,Intervention: Time Out (minutes) ,
2020-2021 ,2/24/21 12:55 PM ,X asked to go to the restroom, after doing so he eloped and had to be brought back to the calming room. TO Escort ,Intervention: Time Out (minutes) ,
2020-2021 ,3/1/21 8:40 AM ,X walked to the crashpad room to rest before starting the day. Instead of resting, he began to throw items. He was brought to TO. Escort TO ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,3/1/21 8:40 AM ,X walked to the crashpad room to rest before starting the day. Instead of resting, he began to throw items. He was brought to TO. Escort TO ,Intervention: Time Out (minutes) ,





