Table: Table_1

2020-2021 ,3/26/21 9:45 AM ,Student did not want to complete work and refused to follow directions. He started to spit and throw objects at peers and staff. He was escorted to time out ( While in time out he put the little plastic face mask adjuster in his ear and got it stuck. ,Intervention: Time Out (minutes) ,
2020-2021 ,4/16/21 10:05 AM ,Student struggled to write the letter K during ELA. He threw material, yelled/swore, and punched staff in face. Small child restraint until escorted to TO ,Intervention: Time Out (minutes) ,
2020-2021 ,4/19/21 8:58 AM ,X student was upset with another student at recess. He refused to come in and became physical with staff. He was escorted to TO ( ,Intervention: Time Out (minutes) ,
2020-2021 ,4/19/21 12:10 PM ,Student was upset with another student at recess. When it was time to come in, he refused and became physical with staff. He was escorted to TO ,Intervention: Time Out (minutes) ,
2020-2021 ,4/19/21 12:40 PM ,Student did not want to complete work after coming back from TO. He started throwing chairs and becoming physical. He was escorted to TO and ended up urinating in there ,Intervention: Time Out (minutes) ,
2020-2021 ,4/19/21 12:40 PM ,student did not want to complete work after coming back from TO. He started throwing chairs and becoming physical. He was escorted to TO ( ) and urinated in there. ,Intervention: Time Out (minutes) ,
2020-2021 ,4/21/21 8:15 AM ,X was upset getting off the bus. He began to hit and kick staff. Told to go to the calming room. Began to hit and kick staff again and attempted to kick other student. Put in a small child hold. Support was called and he was escorted to TO. SC Escort TO ,Intervention: Time Out (minutes) ,
2020-2021 ,4/29/21 1:45 PM ,X was in the hallway and was upset because he could not use a tablet. He began to hit and kick staff. Escorted to TO and stayed until calm. Escort TO ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,4/29/21 1:45 PM ,X was in the hallway and was upset because he could not use a tablet. He began to hit and kick staff. Escorted to TO and stayed until calm. Escort TO ,Intervention: Time Out (minutes) ,





