Table: Table_1

2020-2021 ,11/6/2012:45 PM ,T.O. was used at A escort was also used. Student did not want to complete work. Student left the class and began climbing. Student began kicking staff and was escorted to T.O. ,Intervention: Time Out (minutes) ,
2020-2021 ,11/16/20 1:00 PM ,T.O. used from Small child was also used for Eloped from the classroom during skillstreaming. Climbing in window sills running throughout the hallways. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,11/16/20 1:00 PM ,T.O. used from Small child was also used for Eloped from the classroom during skillstreaming. Climbing in window sills running throughout the hallways. ,Intervention: Time Out (minutes) ,
2020-2021 ,11/24/20 12:20 PM ,X Escort was used for T.O. was used was taking a break in the hallway, but was getting too rough with slamming into doors. Another staff member took him to a empty room, he then got out of control. ,Intervention: Time Out (minutes) ,
2020-2021 ,12/3/20 1:00 PM ,Small child 2 person, T.O. used was given instructions to finish his work on his Ipad. began to have a meltdown. Crawling, pushing staff and running away. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,12/3/20 1:00 PM ,Small child 2 person, T.O. used was given instructions to finish his work on his Ipad. began to have a meltdown. Crawling, pushing staff and running away. ,Intervention: Time Out (minutes) ,
2020-2021 ,2/1/21 12:55 PM ,X small child for time out used from Student did not want to complete work assignment. Student said he was leaving to go home. Student became physically aggressive with staff when they prevented him from going home. Staff held student. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,2/1/21 12:55 PM ,X X small child for time out used from Student did not want to complete work assignment. Student said he was leaving to go home. Student became physically aggressive with staff when they prevented him from going home. Staff held student. ,Intervention: Time Out (minutes) ,
2020-2021 ,2/5/21 1:05 PM ,X Time out was used from Escort was also used at 1:10. Student ran to fish bowl and climbed on a wall. Support was called. Helped student down and escorted him to T.O. ,Intervention: Time Out (minutes) ,





