Table: Table_1

2020-2021 ,3/17/21 10:25 AM ,X X was frustrated already at the beginning of Math. He however, began beating on his computer, when it wouldn't load quick enough. He was also verbally inappropriate, he was given multiple warnings, but was eventually asked to leave and complete the disruption plan. He refused and became more and more agitated. Eventually support was called, but continued to become more and more agitated. He began throwing things from the top of his desk, hitting me with his calculator. He attempted to through his computer, which took from him. He then, charged toward the staff, restrained him. As that was occurring, he was kicking wildly, then with direction, connecting multiple times with and with other staff as well myself. He continued to attempt to kick even with first me, and then my self and on his legs. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,9/17/20 2:37 PM ,Student eloped from classroom to 2nd floor then outside of building. Support called color yellow, student escorted to time out per BIP. ,Intervention: Time Out (minutes) ,
2020-2021 ,9/30/20 8:55 AM ,#NAME? ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,9/30/20 8:55 AM ,#NAME? ,Intervention: Time Out (minutes) ,
2020-2021 ,9/30/20 8:55 AM ,#NAME? ,Intervention: Time Out (minutes) ,
2020-2021 ,9/30/20 12:00 PM ,student ran out the front of the school. Refused to go back in. ,Intervention: Time Out (minutes) ,
2020-2021 ,9/30/20 12:30 PM ,X refused to follow staff direction. Grabbed a Pair of scissors and ran away with them. After staff took them away. She started to get aggressive. While in T.O she said "I want to kill myself" then she put mask ear piece around her neck. ,Intervention: Time Out (minutes) ,
2020-2021 ,10/1/209 9:30 AM ,X X X X X wanted to leave class to hit blocking the door started hitting staff. Head butting staff in ribs. - tried to grab Owl. got aggressive towards . -yellow call( escort to T.O) ,Intervention: Time Out (minutes) ,
2020-2021 ,10/1/20 11:45 AM ,X jumping on counters, hitting staff -student ran around class and continued unsafe behavior -Yellow support, escort by ,Intervention: Time Out (minutes) ,





