Table: Table_1

2020-2021 ,X was not following staff direction, she was aggressive toward staff for over 15 minutes. Support was called and she was escorted to 1/13/21 1:45 PM T.O. She was in T.O. from ,Intervention: Time Out (minutes) ,
2020-2021 ,X X refu8sed to do work with She ran out of the class and out of the building. Support was called. got her by the swimming pool and escorted inside to a T.O. room. She 1/14/21 9:30 AM was in T.O. from ,Intervention: Time Out (minutes) ,
2020-2021 ,X X ran from ELA Centers when working with She ran outside toward the church. She was escorted to T.O. She was in T.O. 1/20/21 9:20 AM from ,Intervention: Time Out (minutes) ,
2020-2021 ,X X Transition from speech ran from support called she was escorted to TO 3/1/21 1:10 PM TO ,Intervention: Time Out (minutes) ,
2020-2021 ,X X Student walked into class and flopped on the floor, she did not like her breakfast so she left the classroom. went to the fishbowl and then walked out of the building. support came and escorted her to time out. TO 4/12/21 8:35 AM PI ,Intervention: Time Out (minutes) ,
2020-2021 ,X X X X X eloped from classroom. When caught up to her she proceeded to kick him. eloped from the building. followed her. They caught up to her at the gazebo and guided her to TO. 4/13/21 9:05 AM PI: TO ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,X X X X eloped from classroom. When caught up to her she proceeded to kick him. eloped from the building. followed her. They caught up to her at the gazebo and guided her to TO. 4/13/21 9:05 AM PI: TO ,Intervention: Time Out (minutes) ,
2020-2021 ,X X X X from s room. left the building. Support called. brought her to TO. was aggressive toward 4/13/21 9:05 AM (hitting and kicking). TO PI: ,Intervention: Physical Intervention (minutes) ,





