Table: Table_1

2020-2021 ,5/11/21 12:07 PM ,Walked around outside of school building, no mask, hitting, kicking, spitting on staff. Non-compliant to go to calming room. Advised staff he would not do any work until 11am everyday. ,Intervention: Time Out (minutes) ,
2020-2021 ,6/1/21 10:00 AM ,8th grade hall. Student tried to push past staff. CI intervened and escorted to TO. ,Intervention: Time Out (minutes) ,
2020-2021 ,10/13/2010:05 AM ,Student began attacking staff after he was unable to follow the direction of staying in his space. Needed to be held by staff. Support called and escorted to T/O ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,10/13/20 10:05 AM ,Student began attacking staff after he was unable to follow the direction of staying in his space. Needed to be held by staff. Support called and escorted to T/O ,Intervention: Time Out (minutes) ,
2020-2021 ,10/19/209:30 AM ,Student did work out of the classroom then started to run around the building, leave the building and was physically aggressive towards staff. Support was called. T/O ,Intervention: Time Out (minutes) ,
2020-2021 ,10/19/209:30 AM ,Student did work out of the classroom then started to run around the building, leave the building and was physically aggressive towards staff. Support was called. T/O ,Intervention: Time Out (minutes) ,
2020-2021 ,10/20/20 9:00 AM ,Student asked to work in the hall with beanbag. Began running around sliding in the hall with beanbag. Bean bag was taken, student threw ipad at staff began running and got physically aggressive with staff. Escorted to T/O ,Intervention: Time Out (minutes) ,
2020-2021 ,10/21/20 5:11 PM ,X was running in the hall. PE teacher asked him to go back and walk. Student refused. He tried to get into the Gym and began hitting and kicking staff. Student was put in a small child hold until his body was calm. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,10/30/20 12:55 PM ,Student was being harassed by other student's and asked them to stop multiple times. He began to throw pencil boxes at the students. Needed to be put in a small child. ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,10/30/20 1:10 PM ,Student was trying to attack other students. Needed to be escorted to T/O ,Intervention: Time Out (minutes) ,





