Table: Table_1

2020-2021 ,12/18/20 12:55 PM ,X X Student ran from classroom. Began swearing at other students in the hall. Started to be unsafe by climbing the stairwell. Was in a small child ( ). Walked to T/O ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,12/18/20 12:55 PM ,X Student ran from classroom. Began swearing at other students in the hall. Started to be unsafe by climbing the stairwell. Was in a small child ( ). Walked to T/O ,Intervention: Time Out (minutes) ,
2020-2021 ,1/5/21 1:20 PM ,X Student was being disruptive and generally unsafe in the classroom and hallway. Student walked to T/O Continued to spit in t/o and refused to wear mask. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/6/21 11:05 AM ,Student threw objects, lunch at staff. Ran from designated spot in hall to fishbowl and climbed up the wall. Ran outside and began to climb railings. Was escorted to t/o ,Intervention: Time Out (minutes) ,
2020-2021 ,1/6/21 12:10 PM ,Student ripped book and threw pencils towards others. Support called. Student ran from class and became physically aggressive t 12:20- 1:20: Fell asleep in t/o) ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,1/6/21 12:10 PM ,X X Student ripped book and threw pencils towards others. Support called. Student ran from class and became physically aggressive towards staff. Was in hold until support came to escort to t/o ( Fell asleep in t/o) ,Intervention: Time Out (minutes) ,
2020-2021 ,1/7/21 8:50 AM ,Student ran out of the classroom. Became unsafe when he began climbing the stairway. Was put in a hold (2 min) and then escorted to T/O ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,1/7/21 8:50 AM ,X Student ran out of the classroom. Became unsafe when he began climbing the stairway. Was put in a hold and then escorted to T/O ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,1/21/21 9:35 AM ,X X became verbally aggressive curing staff and telling staff to shut up. After multiple prompts to stop staff called for support. Support escorted to calming room to calm ). ,Intervention: Time Out (minutes) ,





