Table: Table_1

2020-2021 ,X Student eloped from the classroom wo permission and when he returned, he began kicking the door. He then kicked the staff that was with him. He was put into a two person small child hold for so support could escort him to time out. He was in time out 11/17/20 1:30 PM for ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,X Student eloped from the classroom wo permission and when he returned, he began kicking the door. He then kicked the staff that was with him. He was put into a two person small child hold for so support could escort him to time out. He was in time out 11/17/20 1:30 PM for ,Intervention: Time Out (minutes) ,
2020-2021 ,Student was kicking the glass door and staff. Support was called. Non- compliant when asked to walk to calming area. Student was yelling and swearing. Student was escorted to time out by support where he 11/23/20 12:52 PM stayed for ,Intervention: Time Out (minutes) ,
2020-2021 ,Student was standing on overturned chair then shook his leaking water bottle on other students and objects. The student ran around the room tipping over furniture. The student hit staff. Support was 12/3/209:55 AM called and he walked to time out where he stayed for ,Intervention: Time Out (minutes) ,
2020-2021 ,Student was throwing objects at other students. The staff tried to move him into a separate location, but his behavior escalated. Support was called. The student was escortedto a time out location 12/4/20 12:10 PM where he stayed for ,Intervention: Time Out (minutes) ,
2020-2021 ,Student eloped from the building and began kicking staff. Support was 12/4/20 1:50 PM called and escorted him to his bus. He was in hold for ,Intervention: Time Out (minutes) ,
2020-2021 ,Student was hitting and kicking staff. He was also being unsafe towards another student by blocking the classroom doorway. Student 1/5/21 1:35 PM was escorted to timeout where he stayed for ,Intervention: Time Out (minutes) ,
2020-2021 ,Student was unsafe in the classroom. He was throwing objects at other students. He eloped from the building. Support was called. He 1/19/21 12:30 PM was escorted to time-out where he stayed for ,Intervention: Time Out (minutes) ,





