Table: Table_1

2020-2021 ,1/11/21 12:15 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/11/21 1:34 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/11/21 1:52 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/19/21 12:00 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,5/13/21 9:30 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,5/27/21 10:03 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,9/25/20 11:54 AM ,Student was physically aggressive towards staff and displayed unsafe behavior by not wearing a mask and eloping from staff into the parking lot. ,Intervention: Time Out (minutes) ,
2020-2021 ,9/29/20 1:18 PM ,Student displayed unsafe behavior by not wearing a mask. ,Intervention: Time Out (minutes) ,
2020-2021 ,10/1/20 9:56 AM ,Student eloped from staff and was physically aggressive towards his staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,10/2/20 11:48 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,10/5/20 12:22 PM ,Student was physically aggressive towards staff and displayed unsae behavior by spitting and unmasking. ,Intervention: Time Out (minutes) ,
2020-2021 ,11/9/20 11:45 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,11/12/20 1:25 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,11/23/2012:00 AM ,Student was physically aggressive towards staff and eloped from the building towards the road. ,Intervention: Time Out (minutes) ,
2020-2021 ,12/4/20 12:40 PM ,Student was physically and verbally aggressive towards staff. Student also eloped from the building and into traffic. ,Intervention: Time Out (minutes) ,
2020-2021 ,12/21/20 10:50 AM ,Student was physically aggressive towards staff and displayed unsafe behavior by eloping out of the building. ,Intervention: Time Out (minutes) ,
2020-2021 ,12/21/20 12:41 PM ,Stident was verbally aggressive towards staff and displayed unsafe behavior by eloping from the building. ,Intervention: Time Out (minutes) ,
2020-2021 ,12/21/20 1:42 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,12/22/20 10:06 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
,,Student was physically aggressive towards staff and displayed unsafe ,,
2020-2021 ,12/22/20 10:46 AM ,behavior by eloping from the building. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/4/21 9:48 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/4/21 1:22 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/4/21 2:23 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/5/21 9:17 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/5/21 9:54 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,





