Table: Table_1

2020-2021 ,1/5/21 11:04 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/5/21 1:47 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/11/21 10:06 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/11/21 10:34 AM Student was physically aggressive towards staff and another student. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/11/21 10:56 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/11/21 11:29 AM Student was verbally and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/11/21 12:12 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
,Student was physically aggressive towards staff and displayed unsafe ,,
2020-2021 ,1/11/21 2:53 PM behavior by running in the parking lot. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/12/21 9:31 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/15/21 9:45 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/15/21 10:13 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/15/21 11:50 AM Student was physically aggressive towards staff and eloped from class. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/15/21 12:48 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/21/21 9:19 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/22/21 10:38 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/22/21 11:32 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/22/21 2:05 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/26/21 10:46 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/28/21 10:59 AM Student was verbally aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,1/29/21 11:23 AM Student was verbally and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,Student was eloped from class and was physically aggressive towards 2/1/21 12:22 PM staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,2/4/21 9:32 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,2/4/21 11:31 AM STudent was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,2/4/21 12:14 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,2/5/21 9:28 AM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,Student eloped from class and became physically aggreesive towards 2/8/21 1:24 PM staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,Student was physically aggressive towards staff and displayed unsafe 2/8/21 1:50 PM behavior by stripping. ,Intervention: Time Out (minutes) ,
2020-2021 ,2/11/21 12:43 PM Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,





