Table: Table_1

2020-2021 ,2/22/21 12:15 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,3/1/21 10:39 AM ,Student was physically aggressive towards staff and eloped from class. ,Intervention: Time Out (minutes) ,
2020-2021 ,3/4/21 9:51 AM ,Student was verbally and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,3/4/21 11:31 AM ,Student was verbally and physically aggressive towards staff. Student displayed unsafe behavior by eloping from classroom. ,Intervention: Time Out (minutes) ,
2020-2021 ,3/5/21 1:30 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,3/15/21 1:55 PM ,Student was physically aggressive towards staff and displayed unsafe behavior by rolling around in the parking lot. ,Intervention: Time Out (minutes) ,
2020-2021 ,3/16/21 11:17 AM ,Student was physically aggressive towards staff and eloped from the classroom and staff multiple times throughout the day. ,Intervention: Time Out (minutes) ,
2020-2021 ,4/9/21 9:42 AM ,Student was physically aggressive towards staff and was eloping from the classroom. ,Intervention: Time Out (minutes) ,
2020-2021 ,4/15/21 2:39 PM ,Student was physically aggressive towards staff and eloped from classroom. ,Intervention: Time Out (minutes) ,
2020-2021 ,4/23/21 1:08 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,5/11/21 12:06 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,5/13/21 1:23 PM ,Student displayed unsafe behavior by eloping into the parking lot and becoming physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,5/24/21 1:16 PM ,Student eloped from staff, became physically aggressive towards staff and began disrobing. ,Intervention: Time Out (minutes) ,
2020-2021 ,5/26/21 11:00 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,5/26/21 12:36 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,5/26/21 1:13 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,6/1/21 1:37 PM ,Student was physically aggressive towards staff and displayed unsafe behavior by eloping from staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,6/1/21 2:12 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,6/2/21 2:18 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2020-2021 ,6/3/21 2:35 PM ,Student was physically aggressive towards staff and eloped from the classroom ,Intervention: Time Out (minutes) ,
2020-2021 ,6/4/21 2:00 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,





