Table: Table_1

2021-2022 ,8/4/21 11:50 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,7/28/21 1:06 PM ,Student was physicaly aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,8/10/21 8:53 AM ,Student was physically aggressive towards staff and other students ,Intervention: Time Out (minutes) ,
2021-2022 ,8/10/21 9:15 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,9/14/21 1:15 PM ,Student eloped from staff and was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,7/6/21 11:30 AM ,Student was physically aggressive towards staff and eloped from the classroom. ,Intervention: Time Out (minutes) ,
2021-2022 ,7/8/21 11:37 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,7/9/21 9:55 AM ,Student was physically aggressive towards staff and eloped from the classroom. ,Intervention: Time Out (minutes) ,
2021-2022 ,7/9/21 10:46 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,7/12/21 9:25 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,7/12/21 11:10 AM ,Student was physically aggressive towards staff and eloped from the classroom. ,Intervention: Time Out (minutes) ,
,,Student was physically aggressive towards staff and was removing his ,,
2021-2022 ,7/12/21 12:16 PM ,clothing. ,Intervention: Time Out (minutes) ,
2021-2022 ,7/13/21 8:30 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,7/13/21 12:52 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,8/12/21 10:05 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,9/14/21 1:01 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,9/14/21 1:41 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,7/6/21 11:30 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,7/14/21 9:19 AM ,Student was physically and verbally aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,7/8/21 11:16 AM ,Student was physically aggressive. ,Intervention: Time Out (minutes) ,
2021-2022 ,7/8/21 2:05 PM ,Student was physically aggressive and eloped from staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,8/2/21 1:11 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
,,Student was physically aggressive towards staff and disruptive in the ,,
2021-2022 ,7/22/21 11:52 AM ,classroom. ,Intervention: Time Out (minutes) ,
2021-2022 ,7/6/21 1:09 PM ,Student was verbally and physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,7/12/21 12:13 PM ,Student was verbally and physically aggressive towards staff ,Intervention: Time Out (minutes) ,
2021-2022 ,8/4/21 9:56 AM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,
2021-2022 ,9/8/21 1:39 PM ,Student was physically aggressive towards staff. ,Intervention: Time Out (minutes) ,





