Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door open will be recorded separately, per student plans). ,
11/1 ,,1058 ,11:05 ,7 ,closed ,
11/1 ,,11:07 ,11.20 ,13 ,closed ,
11/1 ,,11:25 ,//:3/ ,6 ,left door open ,
11/1 ,,12:55 ,1:12 ,17 ,closed door ,
11/2 ,,10:30 ,10:40 ,10 ,X closed ,
11/2 ,,11:15 ,11:25 ,10 ,X closed ,
11/2 ,,12:10 ,12:19 ,9 ,closed ,
11/2 ,,1:20 ,135 ,15 ,closed , V ,
11/2 ,,1:00 ,1:15 ,IS ,closed ,
11/2 ,,2:08 ,2:15 ,7 ,Closed ,
1/2 ,,2:40 ,2 :45 ,5 ,closed ,
11/7 ,,11:06 ,11:14 ,8 ,closed ,
11/14 ,,12:15 ,12:21 ,6 ,closed ,
11/20 ,,11:20 ,11:30 ,10 ,closed ,
11/20 ,,12:45 ,1:15 ,30 ,closed ,
11/20 ,,1:15 ,1:30 ,15 ,Closed ,
II/ ,,9:08 ,9:15 ,7 ,closed ,
11/26 ,,11:05 ,no ,5 ,closed ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





