Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult Interaction needed) ,,
4/4 ,,1 11:15 ,11:25 ,10 ,1 ,,
,,10:15 ,10:25 ,10 ,1 ,,
4/10 4/10 ,,10:48 ,10:50 ,2 ,j ,,
4lls ,,10:50 ,11:05 ,15 ,i ,,
4/10 ,,11.15 ,11:30 ,15 ,1 ,,
4/10 4110 ,,11:30 ,11:45 ,15 ,\ ,,
,,10.00 ,10:15 ,15 ,1 ,,
4/12 ,,10: 15 ,10:25 ,ID. ,I ,,
4/12 4/12 ,,10:30 ,18:45 ,15 ,I ,,
1/15 ,,7:50 ,7:55 ,5 ,\ ,,
4/15 ,,8:00 ,8:15 ,15 ,\ ,,
4/15 ,,8:15 ,8:30 ,15 ,) ,,
,,8:30 ,8:45 ,15 ,\ sleep ,till ,
4/15 4/15 ,,1:30 ,1:45 ,15 ,) ,,
4/17 ,,10:55 ,11:00 ,S ,I ,,
4/17 ,,11:20 ,11:35 ,15 ,I ,,
4/17 ,,11:35 ,11:40 ,5 ,) callmon ,,
4/17 ,,11:50 ,12:05 ,15 ,i ,,
4/29 ,,8:22 ,8:25 ,3 ,/ ,,
4/29 ,,8.25 ,8:30 ,5 ,I ,,
4/29 ,,10:45 ,10155 ,10 ,/ ,,
,,,,,,,





