Table: Table_1

,Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult Interaction needed) ,
,2/4/19 ,,10:35 ,10:45 ,10 ,1 ,
,24h9 ,,1:46 ,1:50 ,4 ,) ,
,2/11/199 ,,8:02 ,8:08 ,6 ,\ ,
,2/11/19 ,,10:40 ,10:55 ,15 ,13 ,
,2/11/19 ,,10.55 ,11:10 ,15 ,15 ,
,2/11/19 ,,1:05 ,1:20 ,15 ,\ ,
,2/13/19 ,,10:05 ,10:20 ,15 ,I ,
,2/13/19 ,,10:20 ,10:23 ,5 ,) ,
,2/14/19 ,,8:05 ,8:20 ,15 ,\ ,
,2/14/15 ,,8:20 ,8:31 ,11 ,\ ,
,E / 1/19 ,,9:00 ,925 ,15 ,I ,
,2/14/19 ,,9:15 ,9:25 ,10 ,I ,
,2/14 ,,12.25 ,12:40 ,15 ,) ,
2/14 ,,,12:40 ,12:55 ,15 ,\ ,
,214 ,,12.55 ,1:05 ,10 ,1 went home ,
,2/26 ,,12:20 ,12:30 ,10 ,1 ,
,2/24 ,,12:55 ,1:00 ,5 ,\ ,
,2/24 ,,1:00 ,1:15 ,15 ,\ ,
,2/26 ,,1:15 ,1:25 ,10 ,J ,
,2/24 ,,1:27 ,130 ,3 ,1 ,
,2/24 ,,1:30 ,145 ,15 ,\ ,
,2/26 ,,1:45 ,1:52 ,7 ,1 ,





