Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult interaction needed) ,,
2/11/19 ,,1:30 ,1:50 ,20 ,I Handson staff ,,
216 ,,9:15 ,9:38 ,15 ,I again ,,
2/15/19 ,,12:40 ,1:00 ,20 ,I Aggression ,,
2/5/19 ,,1:05 ,1:20 ,15 ,/ Attempt to Rune I disrespectful ,deescabt ,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,





