Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relavation / with door open will he recorded separately, per student plans). ,
2/24 ,,1015 ,10 16 ,/ minute ,open ,
2/24 ,,10" ,1027 ,11 minutes ,closed ,
2/24 ,,1210 ,1217 ,7 minutes ,Closed ,
2/25 ,,924 ,942 ,18 minutes ,Open ,
2/25 ,,942 ,950 ,8 minutes ,closed ,
2/25 ,,951 ,959 ,8 minutes ,open ,
2/25 ,,959 ,1008 ,9 minutes ,closed ,
2/27 ,,1032 ,1038 ,6 minutes ,open ,
2/27 ,,11 13 ,11 25 ,12 minutes ,open ,
2/27 ,,1129 ,1130 ,/ minute ,open ,
2/27 ,,1130 ,1131 ,/ minute ,closed ,
/27 ,,1133 ,1142 ,9 minutes ,open ,
2/27 ,,42 / ,1150 ,8 minutes ,open ,
2/27 ,,108 ,224 ,74 minutes ,open ,
2/28 ,,820 ,847 ,27 Minutes ,open ,
U20 ,,943 ,949 ,6 minutes ,open ,
2/28 ,,950 ,953 ,3 minutes ,closed ,
2/28 ,,1135 ,1155 ,20 minutes ,open ,
2/28 ,,12 08 ,1215 ,7 minutes ,open ,
2/28 ,,1218 ,1242 ,24 minutes ,open ,
2/28 ,,230 ,238 ,8 minute ,open ,
,,,,,,





