Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Tlme ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door open will be recorded separately, per student plans). ,
1/14 ,,10:47 ,10:50 ,3 mins ,open ,
1/14 ,,10:56 ,10:59 ,3mins ,open ,
1/7 ,,8:26 ,8:29 ,3mins ,closed ,
1/1 ,,8:29 ,8:39 ,10mins ,open ,
1/13 ,,11:02 ,11:05 ,3mins ,open ,
1/21 ,,9:04 ,9:07 ,3mins ,open ,
1/23 ,,10.58 ,11:01 ,3mins ,open ,
1/27 ,,2:21 ,2:24 ,3mins ,open ,
1/27 ,,2:24 ,2:27 ,3mins ,open ,
1/29 ,,710:41 ,10:46 ,5mins ,open ,
1/29 ,,11:14 ,11:17 ,3mins ,closed ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





