Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation/ with door open will be recorded separately, per student plans). ,
10/11 ,,11:23 ,11:33 ,10 mins ,X ,
10111 ,X ,11:33 ,11:47 ,14 mins ,X ,
10/11 ,X ,11:53 ,11:55 ,2 min S ,,
10/15 ,X ,9:09 ,9:14 ,5ming ,X ,
10/15 ,X ,9:18 ,9:25 ,1min ,X ,
10/15 ,,9:27 ,9:39 ,12 mins ,X ,
10/15 ,,9:42 ,9:57 ,15mins ,X ,
10/15 ,X ,9:59 ,10:13 ,14mins ,X ,
10/15 ,X ,10:13 ,10.19 ,semins ,X ,
10/15 ,X ,10:19 ,10:29 ,10mins ,10:22 ,
10/15 ,X ,10:29 ,10:37 ,8mins. ,X ,
10/17 ,X ,10:34 ,10:40 ,le min ,X ,
10/17 ,,10:50 ,11:03 ,13min ,X ,
10/17 ,X ,11:20 ,11:35 ,15min ,X ,
10/17 ,X ,11:36 ,11:45 ,9 min ,X ,
10/17 ,X ,11:50 ,12:05 ,15min ,,
10/17 ,X ,12:30 ,12:45 ,15 min ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





