Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door open will be recorded separately, per student plans). ,
10/25 ,,11:30 ,11:33 ,3min ,closed ,
10/25 ,,11 - 34 ,11:39 ,5min ,closed (charging ,
10/25 ,,11:43 ,11:40 ,5mm ,closed ,
10/25 ,,11:48 ,11:49 ,1min ,closed ,
10/25 ,,12:57 ,1:00 ,3min ,Closed ,
10/25 ,,105 ,1:07 ,2min ,closed ,
10/25 ,,1:08 ,le ll ,3min ,closed ,
10/28 ,,8:54 ,8:57 ,3min ,open ,
10/28 ,,11:04 ,11:07 ,3min ,closed ,
10/29 ,,8:48 ,8:57 ,9min. ,open ,
10/29 ,,8:58 ,9:00 ,2 min ,Closed ,
10/29 ,,9:00 ,9:05 ,5min ,open ,
10/29 ,,9:07 ,9:15 ,8 min ,open ,
10/30 ,,9:15 ,9:25 ,10mins ,open ,
10/30 ,e ,9:25 ,9:40 ,15mirs ,open ,
10/30 ,,9:40 ,9:55 ,ismin ,open ,
10/30 ,,9:55 ,10:05 ,10mins ,open ,
10/30 ,,10:06 ,10:21 ,15mins ,open ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





