Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation, / with door open will be recorded separately, per student plans). ,
10/8 ,,1:15 ,1:22 ,7mins ,,
10/15 ,,11:30 ,11:38 ,8 mins ,spitting on window kicking adults ,
10/21 ,,9:14 ,9:16 ,2 min ,,
10/21 ,,9:16 ,9:29 ,13 min ,,
10/18 ,,9:23 ,9:26 ,3min ,,
10/22 ,,8:38 ,8:42 ,4min ,hit a grabbed staff ,
10/22 ,,8:47 ,8:51 ,4min ,,
10/22 ,,8:51 ,9:06 ,15min ,,
10/22 ,,9:06 ,9:14 ,8 min ,,
10/24 ,,11:42 ,11:45 ,3min ,open ,
10/24 ,,12:44 ,12:47 ,3min ,closed ,
10/28 ,,9.11 ,9:16 ,5min ,closed ,
10/28 ,,9:16 ,9:23 ,Tmin ,,
10/20 ,,9:23 ,9:40 ,Tmin ,,
10/20 ,,9:42 ,9:48 ,6min ,,
10/28 ,,10:25 ,10:31 ,lomin ,,
10/30 ,,11:30 ,11:45 ,15mins ,kicking Closed of spitting ,
10/30 ,,11:46 ,11:50 ,4min ,Closed hitting & grabbing ,
10/30 ,,11:50 ,11:55 ,5min ,open ,
10/30 ,,12:05 ,12:20 ,15mins ,open ,
10/30 ,/ ,12:20 ,12:24 ,umins ,open ,
10/30 ,,12:31 ,12:40 ,amins ,open ,





