Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation =1 (needs adult Interaction) Relaxation = o (no adult interaction needed) ,
1011 ,,8a5 ,8:40 ,15 ,1 ,
1011 ,,11:55 ,12:00 ,5 ,O calm down ,
$1510 ,,liLIS ,2:00 ,IS ,) ,
10/7 ,,8:45 ,8.55 ,10 ,I ,
10/7 ,,9:05 ,9:20 ,15 ,I ,
10/7 ,,9:22 ,9:30 ,8 ,I ,
1018 ,,9:00 ,9:20 ,20 ,I ,
1018 ,,9:22 ,9:35 ,13 ,I ,
1018 ,,9:36 ,9.56 ,20 ,I ,
10/09 ,,8:30 ,8:45 ,15 ,1 ,
1019 ,,8:55 ,9:10 ,IS ,I ,
1019 ,,9:15 ,9:30 ,IS ,I ,
1019 ,,9:31 ,9:45 ,14 ,\ ) ,
1019 ,,9i4b ,10:00 ,20 ,I ,
1010 ,,9:50 ,10:10 ,20 ,0 called ,
10111 ,,10:10 ,10:30 ,20 ,1 ,
10/11 ,,10,33 ,10:53 ,20 ,) ,
10/11 ,,501:40 ,2:00 ,20 ,I ,
10124 ,,11.35 ,11:40 ,5 ,/ ,
099 ,,10:45 ,11:00 ,15 ,I ,
10/30 ,,10:50 ,11:10 ,20 ,I ,
10/30 ,,11:15 ,11:35 ,20 ,( ,
,,11:40 ,12:00 ,20 ,,





