Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult interaction needed) ,
9/17 ,,1:10 ,1:35 ,15 ,/ ,
9118 ,,9:40 ,10:00 ,20 ,I ,
9/19 ,,9:15 ,9:35 ,20 ,O ,
9119 ,,10:15 ,10:21 ,6 ,0 ,
9119 ,,12:15 ,12.H ,9 ,I ,
alla ,,12:40 ,12:50 ,10 ,0 ,
9119 ,,18:55 ,li is ,20 ,/ ,
9119 ,,1:16 ,1:36 ,10 ,/ ,
9000 ,,9:35 ,9:40 ,5 ,/ ,
9120 ,,1.15 ,1:35 ,20 ,/ wonide STAY Staff in etto ,
9/24 ,,7:50 ,8:00 ,10 \ ,tarketing teacher initied ,
9124 ,,10:40 ,10:45 ,5 ,I ,
9124 ,,1:16 ,1:20 ,4 ,0 ,
9125 ,,9:10 ,9:16 ,6 ,0 ,
9/25 ,,10.00 ,10:20 ,20 ,1 BOST Slamming ,
9/25 ,,10:50 ,11:00 ,10) ,1 ,
9125 ,,11:16 ,11:3b ,20 ,I ,
9125 ,,11:40 ,17:00 ,10 ,I ,
9125 ,,12:05 ,12:10 ,S ,O ,
9125 ,Y ,12:32 ,12.52 ,20 ,\ ,
9125 ,,12:58 ,120 ,12 ,I want to stab Staff with ,
9/25 ,,1:12 ,1:25 ,13 ,\ ,





