Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult Interaction needed) ,
01/10/20 ,,10:32 ,10:47 ,15 min ,/ ,
1/6/20 ,,1:48 ,2:02 ,15 min ,I ,
1/6/20 ,,2:02 ,2:05 ,3 min ,I ,
1/9/20 1/1/20 ,,11:48 ,12:03 ,15 min ,I ,
1/9/20 ,,12:48 ,12:56 ,8 min ,I ,
1/10/20 ,,9:12 ,9:27 ,15 min ,I ,
1/11/20 ,,9:27 ,9:42 ,15 min ,/ ,
1/10/20 ,,9:42 ,9:54 ,12 min ,1 ,
1/10/20 1/10/20 ,,10:13 ,10:28 ,15 min ,I ,
1/16/20 ,,8:05 ,8:20 ,15 min ,I ,
1/10/20 ,,8:20 ,8:26 ,6 min ,/ ,
1/21/20 ,,10:35 , ,10:50 ,15 min ,\ ,
1/11/20 ,,10:50 ,10:55 ,5 min ,I ,
1/21/20 ,,10:55 ,10:57 ,2 min ,\ ,
1/21/20 ,,11:17 ,11:32 ,15 min ,I ,
1/21/20 ,,11:32 ,11:37 ,5min ,I ,
1/23/20 ,,10:07 ,10:22 ,15 min ,1 ,
1/27/20 ,,1:37 ,1:52 ,15 ,1 ,
1/28/20 ,,9:53 ,10:06 ,13 min ,1 ,
1/31/20 ,,12:33 ,12:48 ,15 min ,I ,
1/31/20. ,,12:48 ,12:53 ,5 min ,I ,
20 ,,12:58 ,1:13 ,15 min ,/ ,





