Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation =.1 (needs adult Interaction) Relaxation = 0 (no adult Interaction needed) ,
6/1/21 ,,11:24 ,11:37 ,13 ,/ ,
6/1/21 ,,11:56 ,12:01 ,5 ,I ,
6/1/21 ,,12:01 ,12:08 ,7 ,| ,
6/1/21 ,,1:36 ,1:50 ,14 ,/ ,
6/3/21 ,,8:28 ,8:35 ,7 ,1 ,
6/3/21 ,,8:45 ,8:54 ,9 ,| ,
6/3/21 ,,9:16 ,9:29 ,14 ,/ ,
6/3/21 ,,10:27 ,10:37 ,10 ,I ,
6/3/21 ,,10:37 ,10:48 ,11 ,I ,
13/21 ,,12:16 ,12:31 ,15 ,1 ,
6/3/21 ,,12:31 ,12:34 ,3 ,( ,
6/4/21 ,,9:53 ,9:10 ,17 ,/ ,
6/4/21 ,,9:28 ,9:38 ,10 ,/ ,
6/4/21 ,,9:58 ,10:09 ,11 ,I ,
6/4/21 ,,10:40 ,10:53 ,13 ,I ,
6/4/21 ,,12:05 ,12:14 ,9 ,/ ,
6/7/21 ,,11:05 ,11:20 ,15 ,/ ,
6/7/21 ,,11:20 ,11:39 ,19 ,/ ,
6/7/21 ,,11:41 ,11:55 ,14 ,\ ,
6/7/21 ,,11:55 ,12:15 ,20 ,\ ,
6/9 ,,8:40 ,8:49 ,9 ,1 ,
619 ,,9:45 ,10:04 ,19 ,/ ,





