Table: Table_1

Date ,Program ,Behavior ,TOR ,Restraint ,Comments ,,
11/7/19 ,TLC2 ,Student requested TOR ,X x ,,,37 ,
11/7/19 ,TLC2 ,Student requested TOR ,X x ,,,38 ,
11/7/19 ,CCC2 ,throwing objects, punching. head butting ,,X X ,,5 ,
11/7/19 ,TLC2 ,Student requested TOR ,X X ,,,39 ,
11/8/19 ,CCC2 ,Altempting to scratch & slap. throwing objects ,,X x ,,6 ,
11/8/19 ,TLC2 ,Student requested TOR ,X x ,,,40 ,
11/8/19 ,TLC2 ,Student requested TOR ,X X ,,,41 ,
11/8/19 ,CIP2 ,Kicking school property and adull ,,X X ,,5 ,
11/12/19 ,TLC2 ,Student requested TOR ,X X ,X ,,42 ,
11/13/19 ,CCC2 ,punching, throwing items, scratching ,X ,X X ,,7 ,
11/13/19 ,TLC2 ,Student requested TOR ,X x ,,,43 ,
11/13/19 ,CCC2 ,Student requested TOR ,X x ,,,8 ,
11/13/19 ,TLC2 ,Student requested TOR ,X x ,,,44 ,
11/14/19 ,TLC2 ,Student requested TOR ,X x ,,,45 ,
11/14/19 ,TLC2 ,Student requested TOR ,X x ,,,46 ,
11/15/19 ,TLC2 ,Student requested TOR ,X x ,,,47 ,
11/18/19 ,CIP2 ,pinching. slapping, pulling hair, biting ,X X ,,,6 ,
11/20/19 ,CIP2 ,hitting. punching, biting, pulling hair ,X X ,,,7 ,
11/25/19 ,TLC2 ,Student requested TOR ,X x ,,,48 ,
11/25/19 ,TLC2 ,Student requested TOR ,X x ,,,49 ,
12/3/19 ,TLC2 ,yelling, throwing chair ,X x ,transport ,no BIP ,50 ,
12/4/19 ,CCC2 ,choking, kicking, head butling, throwing things ,,X x ,,9 ,
12/4/19 ,TLC2 ,Student requested TOR ,X X ,,,51 ,
12/4/19 ,TLC2 ,Student requested TOR ,X x ,,,52 ,
12/6/19 ,TLC2 ,Student requested TOR ,X x ,,,53 ,
12/6/19 ,TLC2 ,Student requested TOR ,X x ,,,54 ,
12/9/19 ,TLC2 ,Student requested TOR ,X x ,,,55 ,
12/9/19 ,TLC2 ,Student requested TOR ,X X ,,,56 ,
12/9/19 ,TLC2 ,Student requested TOR ,X x ,,,57 ,
12/10/19 ,CCC2 ,Throwing items, kicking. head butting ,,X x ,,10 ,
12/10/19 ,CCC2 ,throwing items ,,X ,,11 ,
12/10/19 ,TLC2 ,Student requested TOR ,X x ,,,58 ,
12/10/19 ,TLC2 ,Student requested TOR ,X x ,,,59 ,
12/11/19 ,TLC2 ,Student requested TOR ,X x ,,,60 ,
12/12/19 ,TLC2 ,throwing backpack, kicking, screaming ,X X ,,no consent. FBA ,61 ,
12/12/19 ,TLC2 ,yelling. knocked down chair ,X x ,transport ,no consent, FBA ,62 ,
12/13/19 ,CCC2 ,throwing things, punching, kicking ,,X x ,,12 ,
12/13/19 ,TLC2 ,Student requested TOR ,X X ,,,63 ,
12/16/19 ,TLC2 ,hilting, kicking, punching wall and door, screaming. throwing shoes ,,X X ,,64 ,
12/16/19 ,TLC2 ,punching floor, hitting, kicking ,,X x ,,65 ,
12/16/19 ,TLC2 ,Student requested TOR ,X X ,,,66 ,
12/16/19 ,TLC2 ,Student requested TOR ,X X ,,,67 ,
12/18/19 ,TLC2 ,punching. pinching kicking ,,X x ,,68 ,
12/18/19 ,TLC2 ,Student requested TOR ,X X ,,,69 ,
12/19/19 ,TLC2 ,Student requested TOR ,X x ,,,70 ,
12/19/19 ,TLC2 ,Student requested TOR ,X X ,,,71 ,





