Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door open will be recorded separately, per student plans). ,
6/18 ,,17th ,1209 ,Trinutes ,X ,
4/18 ,,1:40 ,1.50 ,10 mins ,X ,
6 / R ,,1:50 ,2:00 ,10mins ,X ,
6/10 ,,2 : 02 ,01:12 ,10 mins ,X ,
6/18 ,,238 ,240 ,Zrivites ,X ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





