Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door open will be recorded separately, per student plans). ,
2/5 ,,11815 ,11:35 ,20 M ,,
215 ,,12:30 ,12:45 ,15 M ,,
2/5 ,,2:00 ,2815 ,15 M ,,
016 ,,11:15 ,1130 ,15 AS ,,
2/6 ,,11:45 ,11:50 ,5M ,,
216 ,,11:35 ,11:45 ,10m ,,
216 ,,12:20 ,12.45 ,15 M ,,
216 ,,,lik ,15M ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





