Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult Interaction needed) ,
2/1/19 ,,8:40 ,8:52 ,12mil ,/ ,
2/7/18 ,,9:34 ,9:41 ,Tmin ,I ,
2/7/19 ,,10:38 ,10:52 ,14 min ,| ,
2/5/19 ,,12:15 ,12:30 ,IS min ,\ ,
12/11/19 ,,12:20 ,12:25 ,5 ,\ ,
2/11/19 ,,12:30 ,12:45 ,15 ,1 ,
2/11/19 ,,12:45 ,1:00 ,15 ,i went none@l ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





