Table: Table_1

Date 12/3 ,Staff ,Time IN 8:45 ,Time OUT 8:55 ,Total Time 10 min ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult Interaction needed) ,
12/4 ,,10:25 ,10:40 ,15 ,,
12/4 ,,12:10 ,12:24 ,14 ,1 ,
12/4 ,,1:01 ,lile ,15 ,\ ,
12/4 ,,like ,1:30 ,14 ,1 ,
12/4 ,,1:35 ,1:50 ,15 ,1 ,
12/16 ,,9:50 ,10:15 ,15 ,I ,
12/6 ,,10:15 ,10:30 ,15 ,1 ,
12/4 ,,10:35 ,10:50 ,15 ,( ,
12/6 ,,11:05 ,11:20 ,15 ,i ,
12/6 ,,11:20 ,11:35 ,15 ,\ ,
2/6 ,,11:50 ,11:55 ,15 ,\ ,
12/6 ,,12:05 ,12:20 ,15 ,\ ,
12/4 ,,12:20 ,12:35 ,15 ,\ ,
12/6 ,,12:35 ,12:45 ,10 ,I ,
12/14 ,,10:25 ,10:40 ,15 ,1 ,
12111 ,,10:45 ,11:80 ,15 ,/ ,
12/11 ,,11:00 ,11:15 ,15 ,/ ,
21n ,,11:15 ,11:20 ,5 ,/ ,
17/11 ,,11:25 ,1135 ,10 ,I ,
12/14 ,,8-20 ,8:35 ,15 ,\ ,
12/14 ,,8:35 ,8:45 ,10 ,,
,,,,,,





